Plant_Species,Salmonella Typhimurium,Reference,SMILES,Chemical_name,Bit_741,BitInterpretations,Concentration
Artemisia chamaemelifolia,1,DOI:10.1590/S0102-695X2013000600002,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.163
Thymus riatarum,1,DOI:10.3390/medicines3030019,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.223
Thymus quinquecostatus,1,DOI:10.1007/BF02973874,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.1123
Thymus mongolicus,1,DOI:10.3390/molecules26020307,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.512
Saturiea hortensis,1,DOI:10.22037/afb.v1i1.7134,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.5715
Satureja hortensis,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.5715
Origanum vulgare,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.2925
Thymus richardii,1,DOI:10.3390/molecules28124803,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.131
Origanum syriacum,1,DOI:10.4103/japtr.japtr_106_21,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.883
Origanum glandulosum,1,DOI:10.1016/j.foodchem.2007.05.050,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.41
Oliveria decumbens,1,DOI:10.21203/rs.3.rs-3164788/v1,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.221
Lippia graveolens,1,DOI:10.3390/pathogens12101245,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.165
Corydothymus capitatus,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.736
Coridothymus capitatus,1,DOI:10.1111/j.1600-0463.2005.apm1130101.x,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.736
Coleus aromaticus,1,DOI:10.1155/2012/457150,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.1325
Origanum onites,1,DOI:10.1016/j.foodcont.2009.07.016,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.75
Thymus satureoides,1,DOI:10.1016/j.foodcont.2005.11.009,CC(C)c1ccc(C)c(O)c1,Carvacrol,1,"[(8, 'C', 2, 'ccc(O)c(c)C')]",0.2
