,"Blackcurrant bud 2 - Ribes nigrum L., fam. Grossulariaceae","Blackcurrant bud 3 - Ribes nigrum L., fam. Grossulariaceae","Carrot seed (France) 1 - Daucus carota L., fam. Apiaceae (Umbelliferae)","Carrot seed 2 - Daucus carota L., fam. Apiaceae (Umbelliferae)","Cinnamomum parthenoxylum (China) 1a - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae","Cubeb (India) - Piper cubeba L., fam. Piperaceae","Cubeb 3 - Piper cubeba L., fam. Piperaceae","Cypress (Morocco) - Cupressus sempervirens L. (C. fastigiata DC), fam. Cupressaceae","Cypress twig/leaf - Cupressus sempervirens L. (C. fastigiata DC), fam. Cupressaceae","Cypress, Leyland (Poland) - Cupressocyparis leylandii (Dall. et Jacks.) Dall., fam. Cupressaceae","Douglas fir (Bulgaria) - Pseudotsuga menziesii (Mirbel) Franco, fam. Pinaceae","Douglas fir 1 - Pseudotsuga menziesii (Mirbel) Franco, fam. Pinaceae","Grapefruit leaf (Japan) - Citrus paradisi Macfayden, fam. Rutaceae","Hedyosmum bonplandianum (Costa Rica) - Hedyosmum bonplandianum Kunth, fam. Chloranthaceae","Hedyosmum mexicanum (Costa Rica) 1a leaf - Hedyosmum mexicanum Cordemoy, fam. Chloranthaceae","Hedyosmum mexicanum (Costa Rica) 1b fruit - Hedyosmum mexicanum Cordemoy, fam. Chloranthaceae","Juniper berry 8 - Juniperus communis L., fam. Cupressaceae","Juniper leaf (Romania) - Juniperus communis L., fam. Cupressaceae","Juniper leaf (Turkey) - Juniperus communis L., ssp. nana, fam. Cupressaceae","Juniperus intermedia leaf (Italy) - Juniperus intermedia Schur, fam. Cupressaceae","Libanothamus nerifolia leaf (Venezuela) - Libanothamus nerifolia (B. ex H) Ernst, fam. Asteraceae (Compositae)","Mace 1 - Myristica fragrans Houtt., fam. Myristicaceae","Mace 2 - Myristica fragrans Houtt., fam. Myristicaceae","Neolitsea oblongifolia (China) - Neolitsea oblongifolia Merr. et Chun., fam. Lauraceae","Nutmeg (India) 1 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (India) 2 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (India) 3 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (India) 4 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (India) 8 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (India) 9 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (Indonesia) 1 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (Indonesia) 2 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (Indonesia) 3 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (Indonesia) 4 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (Jamaica) - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (Sri Lanka) 2 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (Sri Lanka) 3 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (Sri Lanka) 4 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (West Indies) 4 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg (West Irian) - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg 1 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg 3 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg 6 - Myristica fragrans Houtt., fam. Myristicaceae","Nutmeg 8 - Myristica fragrans Houtt., fam. Myristicaceae","Orange leaf, sweet (Israel) 3 - Citrus sinensis (L.) Osbeck, cultivar Valencia late, fam. Rutaceae","Orange leaf, sweet (Nigeria) 1 - Citrus sinensis (L.) Osbeck, cultivar Agege I, fam. Rutaceae","Orange leaf, sweet (Nigeria) 2 - Citrus sinensis (L.) Osbeck, cultivar Bendel, fam. Rutaceae","Orange leaf, sweet (Nigeria) 3 - Citrus sinensis (L.) Osbeck, cultivar Etinam, fam. Rutaceae","Orange leaf, sweet (Nigeria) 4 - Citrus sinensis (L.) Osbeck, cultivar Hamlin, fam. Rutaceae","Orange leaf, sweet (Nigeria) 5 - Citrus sinensis (L.) Osbeck, cultivar Meran, fam. Rutaceae","Orange leaf, sweet (Nigeria) 6 - Citrus sinensis (L.) Osbeck, cultivar Umudike, fam. Rutaceae","Orange leaf, sweet (North Africa) 3 - Citrus sinensis (L.) Osbeck, cultivar Valencia late, fam. Rutaceae","Pepper, black (India) 3 - Piper nigrum L., fam. Piperaceae","Pepper, black (India) 6a distilled - Piper nigrum L., fam. Piperaceae","Pepper, black 1 - Piper nigrum L., fam. Piperaceae","Pepper, black 7 - Piper nigrum L., fam. Piperaceae","Piper hancei (China) - Piper hancei Maxim, fam. Piperaceae","Pistacia khinjuk (Egypt) leaf - Pistacia khinjuk Stocks, fam. Anacardiaceae","Salvia pratensis (Italy) - Salvia pratensis L. ssp. haematodes (L.) Briq., fam. Lamiaceae (Labiatae)","Savin 1 - Juniperus sabina L., fam. Cupressaceae","Seafennel (Turkey) 2 - Crithmum maritimum L., fam. Apiaceae (Umbelliferae)","Swangi (Citrus hystrix) peel (Thailand) 2c - Citrus hystrix DC (Swangi), fam. Rutaceae","Tansy, moroccan (Morocco) 2 - Tanacetum annuum L., fam. Asteraceae (Compositae)","Xylopia aethiopica fruit (Benin) 2 - Xylopia aethiopica (Dunal) A. Richard, fam. Annonaceae","Xylopia aethiopica fruit (Cameroon) - Xylopia aethiopica (Dunal) A. Richard, fam. Annonaceae","Ylang Ylang fruit (Cameroon) - Cananga odorata (Lamk.) Hook. f. et Thomson, fam. Annonaceae"
"Blackcurrant bud 2 - Ribes nigrum L., fam. Grossulariaceae",1.0,0.8590082987759435,0.35649073078233084,0.2789062378875309,0.2622396690197495,0.5079313247435322,0.5598763544330421,0.3865702013646446,0.4645087374931347,0.5971784119757941,0.36215780883156656,0.5093416222116984,0.5461193147211869,0.45394770711859644,0.3813732501229754,0.4626504527354717,0.4597832917179612,0.33130433482325494,0.4136498804571286,0.4592519515586925,0.41160360744700497,0.35764922086544415,0.4006684673531492,0.5866392759278904,0.46012961081297143,0.41479718786023667,0.458270066029288,0.46481515662042394,0.5873298706130057,0.530245574335367,0.425232634958587,0.3961817548095885,0.39308068277180963,0.5350465602926424,0.46103315833146086,0.5717778460058445,0.5961686387596437,0.4321492964193072,0.606846395945939,0.4339998686261378,0.4207904147058701,0.6093724975089436,0.5798888835202941,0.3432377246707219,0.5187965934006447,0.5017916071395035,0.6041389085171015,0.6637984183655801,0.5492232416317062,0.48526232004329095,0.5111302646747315,0.5428006335313841,0.39187362643250423,0.3733035355222667,0.5767689987875931,0.4721639328464299,0.5126948687239572,0.41906879299687216,0.4860318528106876,0.1801132788512515,0.34180090980650546,0.3435321511594124,0.4819889877801897,0.4859299296893079,0.46927507648235456,0.419754063110913
"Blackcurrant bud 3 - Ribes nigrum L., fam. Grossulariaceae",0.8590082987759435,1.0,0.353108865860451,0.2851202657749752,0.26581623055643366,0.4753890478378566,0.5134751588535982,0.36811042102063163,0.4055386674878454,0.6191926838999027,0.3937340118138164,0.5376701767581624,0.5608617216359821,0.4762005296477667,0.35748736055544916,0.44697833722371827,0.45128527383354555,0.29019477440592445,0.364917927081153,0.4193645932545417,0.3928418912241417,0.35831672761641786,0.42141995542887833,0.5734869862130952,0.4270831145046293,0.40336371897620793,0.4390762755779366,0.4277194780749466,0.5220023345782663,0.49418159410668316,0.3884396696903577,0.3684422111212289,0.3713109802278344,0.4617088807046369,0.3819545056071363,0.519143245911682,0.524051383757375,0.42789832383833526,0.595815337787726,0.44616518246087666,0.4098088908943456,0.5636583038237499,0.4982320086272817,0.334482167467264,0.527766655761938,0.5185624259097923,0.5874823639935955,0.6467796068568209,0.5071875622490265,0.4884514687846344,0.5003829553092438,0.5316781910914223,0.3869755023627156,0.37761060675354285,0.5475184731847542,0.45693311900885325,0.5269362059029981,0.42249664027610356,0.4836831228324928,0.15861316780534007,0.323719421185926,0.332880369412654,0.4637746190457189,0.4319767258974402,0.452345860725306,0.36746532532726284
"Carrot seed (France) 1 - Daucus carota L., fam. Apiaceae (Umbelliferae)",0.35649073078233084,0.353108865860451,1.0,0.6033438132026246,0.2939613071320051,0.35951847061643494,0.4108686053571473,0.3280675393776705,0.35839113499138375,0.35813729263948824,0.18278596385664336,0.314394650633538,0.36072668606439307,0.3998003602899861,0.24554313441262832,0.32291228967064645,0.4175317961626718,0.32876220220762453,0.3615776122722236,0.36813947947134196,0.26373252549511916,0.38116435494252376,0.362496855245687,0.4691672587928366,0.3995543789250592,0.4029622567626374,0.38645419409565385,0.3571470023309441,0.3894179285741406,0.43436413681709385,0.3719415424221355,0.3731286462537814,0.3822529840896496,0.3763309310108618,0.3120045859756623,0.4461102840151452,0.3833875233068854,0.4297559900831469,0.49257033893435087,0.2951192593043228,0.3909294480007849,0.44117681151849175,0.3592881908776576,0.3383552848389896,0.3942988190655088,0.3482953785863492,0.3303466998419001,0.35046593896553924,0.2849683508228109,0.3038043697006195,0.35621860383411785,0.3908128285612923,0.2730418911604232,0.32368144530468645,0.36503645226653547,0.3559424981295076,0.42055987778458026,0.4435509262980042,0.3882471512410799,0.06192002262321461,0.17766653511106645,0.2263796444813706,0.369502645810313,0.2872992845336545,0.3301929381048976,0.256630284998297
"Carrot seed 2 - Daucus carota L., fam. Apiaceae (Umbelliferae)",0.2789062378875309,0.2851202657749752,0.6033438132026246,1.0,0.2022781112918406,0.28186587780572214,0.3185450413926595,0.23573737467618694,0.23708569407384794,0.30551621994453004,0.16008879980092072,0.2520831443741528,0.30506835252636244,0.32466350157119017,0.18365230670581068,0.25012895597815743,0.3123796453838199,0.1909149379218199,0.23259923994564768,0.25022508469738414,0.21630717871389293,0.2855527076611247,0.28728456677226377,0.3993768673212411,0.29493925481792127,0.30122457360572585,0.30355860291700265,0.26761335307147505,0.28909457612259903,0.3283395853671296,0.26729276410631986,0.26789830071261866,0.29052482971114024,0.26288258677540766,0.2038862268678363,0.3329943959863997,0.2811761350419616,0.3357078085173125,0.41374962330226095,0.23968698874831873,0.29503678517617005,0.35406277647757667,0.26081202686591454,0.2615611685179068,0.3295484801524997,0.3094781809591022,0.28087239463077673,0.30100845097689566,0.22807951721424014,0.27502160414751986,0.31177818768985577,0.3433832170227432,0.2514708132975073,0.2858409618045211,0.2923518918781074,0.30269910131902267,0.362810272106473,0.3618338039334783,0.3145539728107024,0.0011268774683180771,0.14902212063609344,0.2026398103429471,0.300584596322251,0.21739952856744504,0.25559678859714774,0.14417769319030493
"Cinnamomum parthenoxylum (China) 1a - Cinnamomum parthenoxylum (Jack) Nees, fam. Lauraceae",0.2622396690197495,0.26581623055643366,0.2939613071320051,0.2022781112918406,1.0,0.2734257638555617,0.29204204376791687,0.3153974366870671,0.3282387729153611,0.36840536030579085,0.08132577854192957,0.3111556662904953,0.2952900773642122,0.35623259932750395,0.13474447338853002,0.3706041950125155,0.5052961806113712,0.42280185415832694,0.36662478721969816,0.5634787177977407,0.16571888128835355,0.47202340601585335,0.573259567662067,0.34447235727837766,0.4647153598101714,0.5797943035277499,0.36425963078855894,0.3533771906603175,0.3903924054126463,0.4689943387896931,0.4153608655644736,0.454490188618104,0.4521010421964061,0.3752349508517353,0.304169393494626,0.47503916591021844,0.3733147041880953,0.5416025772053814,0.39905893052724406,0.29331330584098547,0.5078870735542587,0.35904979627757827,0.2864348851318287,0.4160071918345245,0.38429524275447036,0.33493814910111974,0.32145885887453396,0.3379515276107914,0.29181918813633345,0.3151824639804357,0.2509246405190132,0.30726365154140034,0.20971477258870885,0.3817313012116679,0.33374882738203115,0.25424463307424783,0.34769756049972567,0.6244804949837421,0.29145918831746764,0.018104730415045456,0.19237459670832524,0.1647383040736189,0.2723179966765614,0.23876940583266415,0.3989340750528264,0.23879078572223278
"Cubeb (India) - Piper cubeba L., fam. Piperaceae",0.5079313247435322,0.4753890478378566,0.35951847061643494,0.28186587780572214,0.2734257638555617,1.0,0.7137113206237626,0.4182865317873484,0.3988985105071451,0.4108580126215473,0.23709782728685946,0.31999656786296893,0.45678008562764305,0.4464350962000845,0.3668787369334623,0.4389126291570953,0.40972032178649276,0.3231593108464865,0.38856362310436454,0.45207639326729676,0.38868012375476635,0.32354560222332407,0.35412826495179195,0.5932925230203747,0.41860911065261996,0.3884428643703216,0.39988629584268554,0.408497267441167,0.5090170724107599,0.48769807291884415,0.3809015733661226,0.3556669228809114,0.35375360196712224,0.48042966933333964,0.39628376441060975,0.5454154669277291,0.5217763546516032,0.4067516575019605,0.5930796265789657,0.4090396252237781,0.37108696888520487,0.5634407847045866,0.5177993149905507,0.2899533709823675,0.5215375176074819,0.4509270527397634,0.48484320668527825,0.5070821112385127,0.4712971146014928,0.42622317623261086,0.4815429948964637,0.5603249710347658,0.3298662160259608,0.3418755538948949,0.4279170238245792,0.45191440261550697,0.48671764706696075,0.4069573154816857,0.5189570138391864,0.1755275530297521,0.3400198017605037,0.2828835110592791,0.44752049875090516,0.43445656535135024,0.40369855151234824,0.3701379325971651
"Cubeb 3 - Piper cubeba L., fam. Piperaceae",0.5598763544330421,0.5134751588535982,0.4108686053571473,0.3185450413926595,0.29204204376791687,0.7137113206237626,1.0,0.44402577170130986,0.4945321925561985,0.4398302405181028,0.26638481459863306,0.36375869355596924,0.4847437274841977,0.463918007972002,0.41376832495274574,0.4661793408896533,0.4736689562445132,0.41425629946100506,0.48601650031637866,0.5086231320587824,0.4259434358899411,0.3772929086168577,0.38002644940464314,0.6770789345480186,0.486810560082349,0.441895377668423,0.4633593153333323,0.4699789133117527,0.5781777717702761,0.5562418947594149,0.4542984912279858,0.43090223712895304,0.4139252740793913,0.5709747694060552,0.4773986637161093,0.6145933398745596,0.598768435108211,0.465493105084826,0.6623954866042778,0.42572044195677583,0.4253869385801772,0.6467433605279729,0.5983251914488441,0.33867903028151214,0.5303218567877279,0.44795793740065826,0.4848023744449137,0.5125275982831583,0.4683979110982319,0.4131565921117516,0.5005450950261419,0.5680707263392938,0.3554390785815541,0.36413432965223136,0.48070753039446246,0.48670338267570934,0.5197137889433965,0.4460113914995547,0.5478659187214787,0.20586924209334378,0.3356513308196952,0.3078834670589158,0.5056616067749398,0.5059811492491249,0.45450541882883555,0.42637321606888223
"Cypress (Morocco) - Cupressus sempervirens L. (C. fastigiata DC), fam. Cupressaceae",0.3865702013646446,0.36811042102063163,0.3280675393776705,0.23573737467618694,0.3153974366870671,0.4182865317873484,0.44402577170130986,1.0,0.4123082203415783,0.3635845495357948,0.1880083976628879,0.3419515035773051,0.5004741571708038,0.367440555925835,0.2715847699024312,0.369506255979261,0.4847559128381038,0.4250651757673819,0.4771618864875735,0.4541275361711159,0.2927339619998849,0.4059841157626134,0.41380414448531,0.44843258759060733,0.46665925327605484,0.4740690299367353,0.42299935997571414,0.4027970403127954,0.4752425967571806,0.5563102915084714,0.43731242416369087,0.4184984873658285,0.4157210450239731,0.4669812142442402,0.4091313988353138,0.5076098617865916,0.4713397023651894,0.4733510106007024,0.49008088118144355,0.3228451981900915,0.4428440130257352,0.5059412959186387,0.4261175635197815,0.34679200053906,0.5218621160577046,0.48314108539887424,0.5209998073777908,0.4899442688930802,0.5056476782710273,0.5109100061542415,0.5450204036471535,0.5559813996860603,0.28089383930070244,0.2927625250037389,0.3844458788197913,0.3536317754103061,0.392510076302626,0.42816558613437505,0.37004190318616736,0.09187175445909845,0.2631571325825688,0.22599386272451216,0.3673483539068372,0.35811598603626627,0.3526280718716316,0.36839220625671
"Cypress twig/leaf - Cupressus sempervirens L. (C. fastigiata DC), fam. Cupressaceae",0.4645087374931347,0.4055386674878454,0.35839113499138375,0.23708569407384794,0.3282387729153611,0.3988985105071451,0.4945321925561985,0.4123082203415783,1.0,0.3705643246164193,0.1952981565730154,0.40608225183739943,0.31931934983375454,0.3026685808338536,0.27640566367532593,0.33595936105359103,0.6026759883225825,0.5975264527389598,0.6521642230597853,0.5177122702170298,0.2637407181040813,0.47684682156537284,0.36541132028879275,0.4520303525916315,0.5702003341118256,0.5262435213438521,0.5050348289077786,0.498018014124208,0.5752416292329635,0.6043024814768979,0.5660522218933068,0.5522706459240138,0.5443318235731835,0.6331524879312473,0.6133628783453369,0.5990241334960446,0.585342724902989,0.5117099357159807,0.49995822407451573,0.25885191917099293,0.5150426736734353,0.5646974594859421,0.5463946361851573,0.44328288789447023,0.34117005865813843,0.2982340234457237,0.3362884538306269,0.3560037596331651,0.33394119973774194,0.2663083367740099,0.33784850693084745,0.35831368292150423,0.2677688430255615,0.3111557488997104,0.4743786045209899,0.3276317612539783,0.3786360433878344,0.48805523545487783,0.35638662878396843,0.08435127844189039,0.158923724788112,0.23628433473599164,0.3771650768214758,0.3889165130035699,0.40572437133114236,0.3465864971168344
"Cypress, Leyland (Poland) - Cupressocyparis leylandii (Dall. et Jacks.) Dall., fam. Cupressaceae",0.5971784119757941,0.6191926838999027,0.35813729263948824,0.30551621994453004,0.36840536030579085,0.4108580126215473,0.4398302405181028,0.3635845495357948,0.3705643246164193,1.0,0.20898255180121217,0.43356349804404437,0.5507777583981706,0.4265852167099433,0.26130316175533086,0.3779694194406724,0.5406036864753062,0.30867804568862556,0.37044023927283176,0.4334457697610482,0.419451006991165,0.46352546895276614,0.4838925702143393,0.5058781821919127,0.42290814194953175,0.46532548857533784,0.4242268643394187,0.3861251829951111,0.43119101892236067,0.48011948334737964,0.3909954747787573,0.38220883100854,0.41451662163630065,0.38935865767039546,0.3069633941813872,0.4517125005363233,0.4217915199504666,0.4820687469499024,0.5494605041484077,0.4113455401913656,0.4322415982510943,0.47446901116572204,0.37769558123832603,0.36672691799700385,0.5019954917783984,0.5117187927681742,0.5498757721776464,0.6055944620345677,0.4649608451760908,0.4982094785925314,0.482390545032542,0.5309042570396854,0.48791660770119427,0.4998486464261259,0.7230315820247557,0.529195798571766,0.510674844807911,0.4647180175096145,0.42044191084364124,0.0907762944326258,0.40797354063940805,0.26557883705288166,0.4110535098593683,0.30526171129900714,0.35009274516651,0.2963359926968997
"Douglas fir (Bulgaria) - Pseudotsuga menziesii (Mirbel) Franco, fam. Pinaceae",0.36215780883156656,0.3937340118138164,0.18278596385664336,0.16008879980092072,0.08132577854192957,0.23709782728685946,0.26638481459863306,0.1880083976628879,0.1952981565730154,0.20898255180121217,1.0,0.595384517405808,0.31592784365137294,0.32297126282909216,0.21575069032498495,0.3238256191277218,0.24127659119494704,0.06358907882013043,0.16108589703888632,0.18867209891138847,0.16827006594342409,0.22945911558718723,0.3171278210567019,0.36808679700472224,0.3487581774334584,0.2828031316225874,0.3732468780396636,0.35177830093962426,0.396718574530991,0.34465410004989816,0.3135970745662636,0.3065103799335783,0.31345010321833866,0.3269212715502353,0.3117358272584203,0.3572695837183718,0.3634335460491388,0.34646342344486747,0.39999165400805126,0.21176218904836375,0.35603453984771527,0.41907179694582697,0.3418442830436986,0.36771463268559756,0.2965912358607201,0.24978607920031892,0.25181545089514845,0.2808111239008906,0.20648099704319667,0.20905094462556062,0.25782210186162036,0.29622178741492755,0.30829191279645285,0.2922831411615836,0.1492424412096155,0.2294929645102436,0.3368127163074678,0.30048753981041376,0.2772814526192918,0.0,0.11323731329578235,0.47495751217292825,0.35873168027961055,0.4077365910797647,0.44689118938740124,0.16504886749304737
"Douglas fir 1 - Pseudotsuga menziesii (Mirbel) Franco, fam. Pinaceae",0.5093416222116984,0.5376701767581624,0.314394650633538,0.2520831443741528,0.3111556662904953,0.31999656786296893,0.36375869355596924,0.3419515035773051,0.40608225183739943,0.43356349804404437,0.595384517405808,1.0,0.42625537627523535,0.37310471210017315,0.25652916944146953,0.41490072477826423,0.49501147949403446,0.3167615931935902,0.3942549152606699,0.4008511104112634,0.2373044198808042,0.4777622575257666,0.5448659251349999,0.44649427624770543,0.5764471050827695,0.542068127053549,0.5590278039146755,0.5200761226443298,0.5603172487516155,0.5640853564789712,0.5388409876387423,0.5488662153324573,0.5610525525731187,0.5097854333932532,0.4939182986727899,0.5304126526885358,0.5220597590685451,0.5892409150142117,0.5163841605985249,0.30279143255993013,0.6082612623753989,0.5460549187889361,0.45392811572257485,0.5983398780749546,0.3981976524391334,0.3596051319563992,0.3805285078895685,0.4112632158236522,0.32775468856380974,0.33104273698501896,0.3548070637800309,0.3682172354104979,0.4055103973393216,0.43477508328071013,0.3797914300289099,0.32207304617132926,0.4404094055322004,0.5230554067845574,0.3372478339701206,0.05272668082628351,0.18423733212977034,0.477964678417091,0.43593183221370446,0.45409588112845933,0.5494325497569144,0.27894745883562855
"Grapefruit leaf (Japan) - Citrus paradisi Macfayden, fam. Rutaceae",0.5461193147211869,0.5608617216359821,0.36072668606439307,0.30506835252636244,0.2952900773642122,0.45678008562764305,0.4847437274841977,0.5004741571708038,0.31931934983375454,0.5507777583981706,0.31592784365137294,0.42625537627523535,1.0,0.5286196940634212,0.3517074613885698,0.4973987303062898,0.4315908946545257,0.26629494492582506,0.3457838587489014,0.4180468498958191,0.43337151575283894,0.35516763076959146,0.5447036249598323,0.5784001497588587,0.426941329265077,0.45652719660034247,0.4296140059989725,0.4079920277816367,0.4823373378331457,0.4987266768577995,0.3795444849358073,0.3578109152129143,0.3739685542618063,0.4059417750372969,0.3174422483220044,0.4725828967904314,0.4694861294836631,0.4921692857268577,0.6046702283075138,0.5080010245820274,0.4366027668797635,0.5440163136248938,0.4247220945197193,0.3390442298277263,0.6235408314445214,0.5439476810549126,0.5576577626208967,0.6010711036796119,0.4617932470567877,0.5094736213285105,0.5329976835981151,0.5862700883118876,0.46061398711260915,0.3924041111204708,0.4474977707523572,0.4771455246976247,0.5370212469028854,0.4370834438400164,0.4871265310651297,0.15883969871258086,0.4629110985772663,0.33310079097434375,0.4809354735695328,0.4016114024196549,0.4206455530724962,0.38510215659155433
"Hedyosmum bonplandianum (Costa Rica) - Hedyosmum bonplandianum Kunth, fam. Chloranthaceae",0.45394770711859644,0.4762005296477667,0.3998003602899861,0.32466350157119017,0.35623259932750395,0.4464350962000845,0.463918007972002,0.367440555925835,0.3026685808338536,0.4265852167099433,0.32297126282909216,0.37310471210017315,0.5286196940634212,1.0,0.35581955091558015,0.48366093373743113,0.38666934436355205,0.24157040133849061,0.27513296645382757,0.4016507421205542,0.3332324928558319,0.34448914032683353,0.46781751349618883,0.5952427776978313,0.4027359018017146,0.42054838771781766,0.4020793986607516,0.3775534048556578,0.4288635641886267,0.4490371477766032,0.34855444137700753,0.3557371084432355,0.36511338002070126,0.366827627283835,0.2787301744167441,0.5033615849198676,0.41402561409975247,0.4595088177303791,0.6019788303773101,0.41617247528523094,0.4070172258606821,0.48853631520052876,0.3825557848545297,0.351834720626372,0.5696827464630034,0.5370004345493089,0.5077428993285185,0.5457201736868857,0.4158552035373927,0.48234833060791815,0.468721461257516,0.5396379877938736,0.3480602472419231,0.40832553629098745,0.36083303811251255,0.417446643931521,0.5405828769822727,0.5140075879979813,0.5326110061027147,0.13487595074685743,0.2730736466625344,0.3376822923923789,0.4512570320207463,0.38525684732429966,0.44514922687395864,0.2798874993985333
"Hedyosmum mexicanum (Costa Rica) 1a leaf - Hedyosmum mexicanum Cordemoy, fam. Chloranthaceae",0.3813732501229754,0.35748736055544916,0.24554313441262832,0.18365230670581068,0.13474447338853002,0.3668787369334623,0.41376832495274574,0.2715847699024312,0.27640566367532593,0.26130316175533086,0.21575069032498495,0.25652916944146953,0.3517074613885698,0.35581955091558015,1.0,0.6228434791986032,0.254084842023508,0.18058979554002996,0.24581521619795077,0.2890698958091058,0.2574459380111682,0.19099523805216645,0.24483766252027606,0.46252254172778395,0.3023040975583231,0.26169601201464254,0.2985468230219247,0.30294464669686383,0.3832698694941583,0.3467805884390901,0.26871344882072523,0.24609192495450272,0.24611079515910061,0.34811916761595185,0.28745552978235445,0.4025097913268332,0.38526378988324583,0.2896190686065585,0.4502714494067446,0.2809736359713534,0.2618128671808635,0.43235787381467883,0.3921062025786869,0.20641110476185054,0.38106054671960776,0.31573066696962426,0.3372656075362036,0.3571748570020803,0.31306029385536926,0.2842300093106517,0.34452580410148714,0.39481757583885446,0.21588372770623554,0.21161264436434668,0.2561015896636223,0.2955643556197626,0.3551796619665054,0.27921017608486653,0.35851865565617813,0.09331621172592297,0.20312087119275313,0.2367938092252163,0.350874733359522,0.3548500471578169,0.31361509239586727,0.2532211692427634
"Hedyosmum mexicanum (Costa Rica) 1b fruit - Hedyosmum mexicanum Cordemoy, fam. Chloranthaceae",0.4626504527354717,0.44697833722371827,0.32291228967064645,0.25012895597815743,0.3706041950125155,0.4389126291570953,0.4661793408896533,0.369506255979261,0.33595936105359103,0.3779694194406724,0.3238256191277218,0.41490072477826423,0.4973987303062898,0.48366093373743113,0.6228434791986032,1.0,0.3893154196341502,0.2797203341306618,0.321202201009794,0.5188116909062361,0.32867291071166005,0.31630799611463356,0.5264009772040139,0.55056811922149,0.4698769278571121,0.4722422071696144,0.41280254035953023,0.43813592579659966,0.5560154057870862,0.5017650328840051,0.40597945366461174,0.4004117216595493,0.3843981174348057,0.4810126220656933,0.39706532078390944,0.5743416789005716,0.5406954824535888,0.4847402670434823,0.5601142315570496,0.44245603674924616,0.4556838852842242,0.5427447940694001,0.48988625786321416,0.3674623865340084,0.5467714778713698,0.4432343719153081,0.4706418318721013,0.494446865137089,0.4504450361563378,0.4229203692588578,0.4091433410458142,0.4894253789662365,0.3268846367377265,0.37510644728365894,0.3162129797951926,0.3682409543777352,0.4557695482620604,0.4948632071372959,0.4469057988103964,0.17230279173262164,0.367286653524339,0.36686555468292714,0.4542126768429411,0.5125910671152486,0.5510603308274581,0.37953620009729594
"Juniper berry 8 - Juniperus communis L., fam. Cupressaceae",0.4597832917179612,0.45128527383354555,0.4175317961626718,0.3123796453838199,0.5052961806113712,0.40972032178649276,0.4736689562445132,0.4847559128381038,0.6026759883225825,0.5406036864753062,0.24127659119494704,0.49501147949403446,0.4315908946545257,0.38666934436355205,0.254084842023508,0.3893154196341502,1.0,0.6390003803000739,0.6904515526484595,0.6210022241905635,0.37308068809122674,0.7431596031083869,0.5709153960723525,0.4745784583007938,0.6585742299240802,0.7074027752627181,0.5702086753063664,0.5336839675453771,0.5758593228922126,0.6910833536831784,0.6425553436142344,0.6512309001442458,0.6524376465638333,0.6045792669032748,0.5459747813864986,0.598573661356717,0.5639005056059605,0.6972655211655707,0.5522256983432069,0.3623096702932622,0.6724812127951734,0.5723310105734254,0.48759859474160805,0.5664624250411128,0.4254784841385515,0.3952992916592607,0.39754297766434366,0.43345922892335786,0.36376116804413505,0.3567170604152218,0.39998153780981327,0.4348242155653941,0.4376786695429927,0.5200992840036163,0.6064714097915875,0.4986567151635799,0.47854389330051106,0.6443266840033757,0.4016847266035617,0.08177873044657824,0.3120753627833084,0.2765457385874035,0.44101624889795155,0.3557503574147789,0.44620573477600345,0.3929115629048736
