,"Agastache foeniculum (giant hyssop) - Agastache foeniculum (Pursh.) Kuntze, fam. Lamiaceae (Labiatae)","Agastache rugosa flower (Vietnam) - Agastache rugosa (Fisch. et Mey) O. Kuntze, fam. Lamiaceae (Labiatae)","Agastache rugosa leaf (Vietnam) - Agastache rugosa (Fisch. et Mey) O. Kuntze, fam. Lamiaceae (Labiatae)","Amomum linguiforme rhizome - Amomum linguiforme Benth., fam. Zingiberaceae","Amomum pavieanum rhizome - Amomum pavieanum Pierre & Gagnep, fam. Zingiberaceae","Avocado leaf - Persea gratissima Gaertner (P. americana Mill.), fam. Lauraceae","Backhousia anisata leaf 2 - Backhousia anisata Vickery (Chemotype 2), fam. Myrtaceae","Basil (Australia) 1a - Ocimum basilicum L. cultivar Reunion, fam. Lamiaceae (Labiatae)","Basil (Australia) 2a cultivar Reunion - Ocimum basilicum L. cultivar Reunion, fam. Lamiaceae (Labiatae)","Basil (Benin) 1c - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Bhutan) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (China) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Comoro Islands) 1 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Comoro Islands) 2 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Cuba) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Denmark) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Egypt) 2 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Finland) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (France) 2 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (India) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Italy) 3 CO2-extract - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Madagascar) 1 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Madagascar) 2 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Nigeria) 1 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Pakistan) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Philippines) 1b - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Portugal) 1 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Taiwan) leaf & flower - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Taiwan), flower - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Taiwan), leaf - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Taiwan), stem - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Taiwan), whole plant - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil (Vietnam) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil 1 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil 2 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Basil 3 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)","Chervil (France) - Anthriscus cerefolium (L.) Hoffm. (Cerefolium sativum Lam.), fam. Apiaceae","Chervil (The Netherlands) - Anthriscus cerefolium (L.) Hoffm. (Cerefolium sativum Lam.), fam. Apiaceae","Chervil (Turkey) - Anthriscus cerefolium (L.) Hoffm. (Cerefolium sativum Lam.), fam. Apiaceae","Clary sage (Italy) 1 - Salvia sclarea L., fam. Lamiaceae (Labiatae)","Clausena dunniana (China) 1 - Clausena dunniana Levl., fam. Rutaceae","Fennel, bitter (Spain) 2 - Foeniculum vulgare Miller, var. vulgare DC, fam. Apiaceae (Umbelliferae)","Fennel, pepper (Turkey) - Foeniculum vulgare Miller, ssp. piperitum, fam. Apiaceae (Umbelliferae)","Lindera neesiana leaf (India) - Lindera neesiana Benth., fam. Lauraceae","Ocimum tenuiflorum (Australia) - Ocimum tenuiflorum L., O. sanctum L., fam. Lamiaceae (Labiatae)","Ravensara anisata (Madagascar) - Ravensara anisata Danguy, fam. Lauraceae","Tarragon (France) 2 - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)","Tarragon (France) 3 - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)","Tarragon (France) 4 - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)","Tarragon (France) 5 - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)","Tarragon (Italy) 1 - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)","Tarragon (Italy) 2 - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)","Tarragon (Italy) 3 - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)","Tarragon (Japan) 1 - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)","Tarragon (Lithuania) 1a - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)","Tarragon (Poland) 2a leaf - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)","Tarragon (USA) 1 - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)","Tarragon (USA) 2 - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)","Tarragon (USA) 6 - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)","Tarragon 2 - Artemisia dracunculus L. (French type), fam. Asteraceae (Compositae)"
"Agastache foeniculum (giant hyssop) - Agastache foeniculum (Pursh.) Kuntze, fam. Lamiaceae (Labiatae)",1.0,0.5964289297059586,0.9031349322457806,0.9101786417848083,0.8870235503939826,0.6579799181899542,0.49372571055992664,0.8089729352823759,0.7657293818901856,0.8537479583802452,0.8440546815022465,0.8778894560565524,0.7730599520478972,0.7753489812254548,0.18715018177654252,0.8415070521869962,0.6915419721564299,0.3038184042884017,0.7848014456043257,0.5037274011851951,0.0,0.786708118853274,0.685076573040761,0.754228339323302,0.5484735648207151,0.5422961763321194,0.6832887993604075,0.7366460620839013,0.7701379058671213,0.7473297879783155,0.45343794488625755,0.7742741155900615,0.8442886146349138,0.7753277684407414,0.7185723341657402,0.7456844140585571,0.45785336084261274,0.4294091603099448,0.6234718035843594,0.025257075237083093,0.90303227220735,0.02712787737301714,0.4492262677087079,0.671854900885714,0.7876638201391553,0.24280368469280988,0.4700333694378478,0.6027217501186491,0.5617236209496617,0.5057841074536532,0.22232848664603055,0.6064726140128893,0.5358275819044391,0.5206627845246303,0.644014024388423,0.2828780181626518,0.643512142241172,0.27442239931021406,0.4386440477534852,0.5734552427114294
"Agastache rugosa flower (Vietnam) - Agastache rugosa (Fisch. et Mey) O. Kuntze, fam. Lamiaceae (Labiatae)",0.5964289297059586,1.0,0.684216341871207,0.6562237593030997,0.6832749137643803,0.8564566013372551,0.6127398148583292,0.759482656796856,0.7990491273480828,0.7033491618105145,0.7186731838623301,0.6821677677668195,0.7690059146452648,0.7769512371380025,0.4890168934815131,0.7259157795367379,0.8136032473865217,0.5850449379581604,0.7700349920726247,0.6345776333396741,0.3147506539792474,0.7669844269127526,0.8197169871507792,0.7959721636311196,0.781347488697225,0.8186004548538153,0.8402234050395917,0.7944381819507813,0.7645276760663452,0.7665133525513271,0.7495946965160364,0.7393653843530337,0.7254263709586064,0.7771098530381233,0.789454457276482,0.7905225204047623,0.6128690730492286,0.5722116999951306,0.6669377695888339,0.3359008689451083,0.6578003393064908,0.32688577001510977,0.6369942046523001,0.7067630318800147,0.7261681090892649,0.5085768820220551,0.6640310202076971,0.7760762654424895,0.7227277208219304,0.8042376283556434,0.4912322467454815,0.7885790714866675,0.7302610972233139,0.7222714437093141,0.792383870909156,0.6041100145171585,0.7691654457423474,0.5880770972678989,0.6812652822771607,0.7425542242754479
"Agastache rugosa leaf (Vietnam) - Agastache rugosa (Fisch. et Mey) O. Kuntze, fam. Lamiaceae (Labiatae)",0.9031349322457806,0.684216341871207,1.0,0.9422857113601806,0.9481022906334913,0.7452259443424276,0.5486605502729587,0.8931599256008584,0.8522865108618595,0.9186521957335165,0.9166827336366515,0.9310672842169158,0.8519271857666622,0.8576079725197663,0.26170193826396804,0.9178043674628753,0.7730083794185366,0.3799453179419482,0.8653451509031486,0.5615992202498268,0.07818956557902967,0.8671440258398166,0.7675657095226821,0.8377384939218784,0.6273961910779307,0.6259861415053596,0.7690975790546561,0.8168768228607418,0.8452606228662595,0.8213483767549139,0.536343600733362,0.8407958581270013,0.9228912938105588,0.857602688061144,0.798944306151214,0.8266995908542418,0.5194657649961374,0.4872408709299776,0.6764276135546091,0.1030342107946457,0.9398339145660571,0.10340672946398399,0.5164476561457683,0.7303520553438094,0.8503185511970368,0.3152314529314064,0.5379294925695979,0.6770975960029166,0.6303977454253102,0.5918194830756403,0.2948498404097376,0.6844384526791598,0.6082226272559692,0.5946939035814618,0.7205824795640454,0.3665304781688271,0.7161061400685143,0.3555795889637734,0.5132597284329037,0.6448879504674543
"Amomum linguiforme rhizome - Amomum linguiforme Benth., fam. Zingiberaceae",0.9101786417848083,0.6562237593030997,0.9422857113601806,1.0,0.9505011347084448,0.7231771991700482,0.5447084428854092,0.8693513852901195,0.8261633573475724,0.8996899193964114,0.8954293489890688,0.9125152680806077,0.8306258584595164,0.8358453005859843,0.24507383222668067,0.8969572445075493,0.752113908706614,0.362225172431629,0.841135583460549,0.5471791253917335,0.058333145291357025,0.8444367750835247,0.7464550110516353,0.8156353227251976,0.6076181222876729,0.60398382636273,0.7451885359114371,0.7958459051446781,0.8244930186315054,0.8033411626095879,0.5158406900308701,0.8264007296710637,0.8978440242651482,0.8358162713997457,0.776512200760945,0.8054210069513504,0.5030631169918822,0.4728597713115221,0.6617718629632063,0.08355099540891242,0.9223043208503362,0.08726953304909513,0.5013520843443964,0.714398013349609,0.831534607421683,0.30342438415351214,0.5189076120584868,0.6580693028636609,0.610142590633163,0.5681747333585678,0.2752851598525031,0.6666785058757629,0.5880631330421008,0.5743802164735392,0.6985003475767846,0.34816559577936745,0.6949946814567325,0.3339044585088866,0.49296466611830136,0.6238623731466939
"Amomum pavieanum rhizome - Amomum pavieanum Pierre & Gagnep, fam. Zingiberaceae",0.8870235503939826,0.6832749137643803,0.9481022906334913,0.9505011347084448,1.0,0.7504024862530732,0.5538594066462197,0.8932985285926242,0.8536584613375009,0.9099313803478383,0.9104432020126887,0.921971655538803,0.8516375796289206,0.8602562049100444,0.2683750393923172,0.915697107035894,0.7779303074000601,0.3842967201829165,0.8634580128343547,0.5631155319706216,0.08594254889372199,0.8660968132495677,0.7725602645027618,0.8390232053349358,0.6315968991699459,0.6322008518573234,0.7724499352320467,0.8182269497051876,0.8446860329592875,0.8234628599462205,0.5413706464849046,0.8398181634986095,0.9174628933482338,0.8601644557692472,0.7995846516659498,0.8293108882931788,0.5221728643829721,0.49071120756661624,0.67685139673669,0.10883802015335486,0.9216506462553573,0.110116990452226,0.5225172031682732,0.7309520811565171,0.8576946656402122,0.32170927278215455,0.5423312868491903,0.6822160165187285,0.6335991746395433,0.5969120546607167,0.30002918555608515,0.6881426591657087,0.6128233764490649,0.5983961848931607,0.724112595431468,0.3737448353109928,0.7194716299997614,0.3617991266338634,0.5184758696551484,0.648455175058039
"Avocado leaf - Persea gratissima Gaertner (P. americana Mill.), fam. Lauraceae",0.6579799181899542,0.8564566013372551,0.7452259443424276,0.7231771991700482,0.7504024862530732,1.0,0.6311194806795524,0.8296931883512612,0.8740197871065123,0.7694002721147772,0.7849429908110858,0.752332499585385,0.8408202277372592,0.8540344198157106,0.4656773122572514,0.7964818424867939,0.8894880224987377,0.5686336173261832,0.837947416482731,0.6465263184863723,0.30100287029488804,0.8387925563856495,0.8926795746268325,0.8657822369139515,0.8002560970333431,0.8293631122236566,0.9180523260293216,0.8624932053798584,0.8322299639652301,0.8377801332113839,0.7470704287654772,0.8014428637658703,0.7946788646741747,0.8540017739973793,0.8456873073368482,0.8669639110563259,0.625219365032573,0.5840178109305003,0.7035729726412436,0.31017163423390715,0.7210755589085889,0.3015708773846101,0.6453637705132269,0.7513553641261911,0.7816484774149287,0.4933622574350911,0.6732725684537737,0.8093566408971017,0.744552448838827,0.8091953186915023,0.4746391224947497,0.8250787098371086,0.7461532632436692,0.737239650599683,0.8359369034986887,0.5814149182139738,0.8093734823847414,0.5673908696587223,0.6803196770326471,0.7667030729950077
"Backhousia anisata leaf 2 - Backhousia anisata Vickery (Chemotype 2), fam. Myrtaceae",0.49372571055992664,0.6127398148583292,0.5486605502729587,0.5447084428854092,0.5538594066462197,0.6311194806795524,1.0,0.5950663374113534,0.6130604699714846,0.5641014983760575,0.5725697864030486,0.549396724779392,0.5994281202990794,0.6038282581023696,0.36918618043818996,0.5760532446195719,0.6160307429357754,0.4486598807437786,0.5984206684469132,0.49458545963599465,0.2113140585464458,0.5984805095368986,0.6192109347748169,0.6111296691129373,0.5890126420006974,0.603427312970156,0.6270647342479918,0.611292375318724,0.5971069942070388,0.5992672685511531,0.5679781793042893,0.5941867998756234,0.5765331831189411,0.6038162289093876,0.6057820881260252,0.608864916768196,0.4809612720004207,0.45013297047826883,0.5293559778616803,0.2315609362126928,0.5329720282776276,0.3659558630327492,0.4964330397036645,0.5574796826507475,0.5710999724858086,0.6656533138330571,0.514922477951498,0.5919449419490458,0.558015153623973,0.5991495713277484,0.3700125587246169,0.6017700810731974,0.5597731316954839,0.5545363004184227,0.6016287251928365,0.4586605834146035,0.5893515805285885,0.4450833753458704,0.5223321899876975,0.5698236655336311
"Basil (Australia) 1a - Ocimum basilicum L. cultivar Reunion, fam. Lamiaceae (Labiatae)",0.8089729352823759,0.759482656796856,0.8931599256008584,0.8693513852901195,0.8932985285926242,0.8296931883512612,0.5950663374113534,1.0,0.9441076275830759,0.9124642488271647,0.9340330785928981,0.8864052246568656,0.9297186289846993,0.9454800513769377,0.36538332279272445,0.9425921937262756,0.8652887839335699,0.48260586945629536,0.9373422047869151,0.6292059421690758,0.16397131750245675,0.9548986255857099,0.8619854619056924,0.9293384998878965,0.7243029789589237,0.7143609541503901,0.8652447248659901,0.9121616110848909,0.9196453512603951,0.9041421089343638,0.6348834385041746,0.9161539622664676,0.9352504011672669,0.9460581958386943,0.8887786803274932,0.9210220685228068,0.5713393056917344,0.5352784554423493,0.7081118026204914,0.1903802557536446,0.8656259715578316,0.18021378923209885,0.5761419613041798,0.7648869952450257,0.8746670639504553,0.3911950476648369,0.5991834458944092,0.7442393462958838,0.6888188954568237,0.6755391870888243,0.3672986503956568,0.7760398264736129,0.6727479901615065,0.6606396214001895,0.785748485616143,0.4587008031480333,0.7740989845770495,0.43708219421725103,0.5838007568913619,0.7063777410127754
"Basil (Australia) 2a cultivar Reunion - Ocimum basilicum L. cultivar Reunion, fam. Lamiaceae (Labiatae)",0.7657293818901856,0.7990491273480828,0.8522865108618595,0.8261633573475724,0.8536584613375009,0.8740197871065123,0.6130604699714846,0.9441076275830759,1.0,0.8725402708389293,0.8934751361418856,0.8503931958163508,0.9212007564104554,0.9370177252956245,0.3975624533065022,0.9006592996867933,0.8905856408354977,0.5130300193129935,0.9373918630683935,0.6499110603107341,0.20408926818539652,0.9378779769700288,0.8903160758743075,0.938369552819848,0.7585163359563522,0.7624099143236548,0.903827406797635,0.9305816501502744,0.9217903510844844,0.9003987341293208,0.6724329725862919,0.8954907719432361,0.8999626790022301,0.9376461109034815,0.892683781618111,0.9291893338096544,0.5944472612329716,0.5561695633929674,0.717219143596147,0.2300641282636705,0.8247641954499043,0.21891455083993627,0.6031524038094265,0.7735631053605214,0.8672970383974812,0.42652701181499364,0.6369065541273307,0.785614130311656,0.7256074887305519,0.7187638427560874,0.4093529032671499,0.7981649360333142,0.7128319605518534,0.6902092602417945,0.8247872896464818,0.4957675541554528,0.8085852814222292,0.48440747105803383,0.6259699125252199,0.7440735951527142
"Basil (Benin) 1c - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.8537479583802452,0.7033491618105145,0.9186521957335165,0.8996899193964114,0.9099313803478383,0.7694002721147772,0.5641014983760575,0.9124642488271647,0.8725402708389293,1.0,0.9196264164508945,0.9002812825356451,0.8789197528767678,0.8853025623368712,0.30447289984257964,0.9224370103541726,0.8030528697396864,0.4200927249823754,0.875972290511227,0.5756351179067953,0.10762573433867728,0.891215737513805,0.7988740399994323,0.8669821378385925,0.6585765192394498,0.6514323626136951,0.7981381777135796,0.8498127755557008,0.8704308347917438,0.8567725275677618,0.5746793425497402,0.8753708218309707,0.9213101188969794,0.8852630600248144,0.8298109541187244,0.8560768716215821,0.53625914428758,0.5027747895283301,0.6849817545951098,0.13339047112051716,0.8912080520459189,0.12927088878763193,0.5354075058864934,0.7392523627725962,0.8473911827113187,0.33813518750776994,0.5570589295944199,0.6974109913558244,0.647493032654433,0.6170995030995533,0.31801763041854714,0.7227435219806139,0.6270265340494695,0.61451858259596,0.7385947051545991,0.40185118655177987,0.7311534654511658,0.38211062575210364,0.535159405262286,0.6624918717249824
"Basil (Bhutan) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.8440546815022465,0.7186731838623301,0.9166827336366515,0.8954293489890688,0.9104432020126887,0.7849429908110858,0.5725697864030486,0.9340330785928981,0.8934751361418856,0.9196264164508945,1.0,0.9040606785835541,0.8965914661089663,0.9065875958688062,0.32443147129427163,0.9439084310381388,0.8255677927876596,0.4413987327876925,0.9071814695628821,0.6013065691773356,0.125018549693378,0.9157282542444858,0.8241400869854975,0.8843538931366742,0.6825543845230838,0.6729016763415918,0.8193196084473298,0.8675879336764177,0.8871168357953512,0.8694873817247044,0.5909332325075527,0.8898910952470466,0.9337601309182866,0.9071051151229362,0.8462277920669181,0.8808579593826141,0.5458397719794199,0.5116630735271286,0.6919680921526798,0.15088498978029585,0.889902789515679,0.14253982755916073,0.5462933883421388,0.7472233927152596,0.8622868719803172,0.3548805001130573,0.5890307073254265,0.7257900677226415,0.6780660439784083,0.6334193143384259,0.33174781466767334,0.7354929711557683,0.6561787203381835,0.6270116047535735,0.7680075646139266,0.41588192382477196,0.7619609579156891,0.4076451108603225,0.5626906565010509,0.6936452569537166
"Basil (China) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.8778894560565524,0.6821677677668195,0.9310672842169158,0.9125152680806077,0.921971655538803,0.752332499585385,0.549396724779392,0.8864052246568656,0.8503931958163508,0.9002812825356451,0.9040606785835541,1.0,0.8579554156304637,0.8662978951881494,0.2716672349329783,0.9285407734325147,0.7958419736229456,0.39304812210266105,0.867153465955702,0.5769697872661088,0.11149650766910646,0.8734589107785736,0.7816752826856974,0.8347158273884995,0.643466598524689,0.632536031390585,0.7780481071535755,0.8167999524230196,0.8463039314656342,0.8324447921040881,0.5437370801014857,0.8377943589822604,0.9139335479864096,0.8663823422263646,0.7959007086122405,0.8418741060247772,0.5209622624193226,0.4886280106711812,0.6746587375354262,0.11454449877563977,0.9187309628539642,0.10787356659701341,0.5182341629501539,0.72788639446558,0.8449007560840898,0.3233996258233489,0.5409523826985005,0.6781057817192961,0.6304085133099029,0.5985516475005888,0.2986560189837215,0.6874935155817316,0.6098443910723589,0.597685521499113,0.7211418724016896,0.3702188049674856,0.7159111255656837,0.3606772521338164,0.5153269034933825,0.6462300648054276
"Basil (Comoro Islands) 1 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.7730599520478972,0.7690059146452648,0.8519271857666622,0.8306258584595164,0.8516375796289206,0.8408202277372592,0.5994281202990794,0.9297186289846993,0.9212007564104554,0.8789197528767678,0.8965914661089663,0.8579554156304637,1.0,0.9414395193930076,0.3894654113341288,0.9084254913800169,0.8841047366395207,0.5047242825846918,0.9067355752983599,0.6276309774961031,0.19432259145839548,0.9579286651686474,0.8814601853201401,0.9222909782875899,0.7501780873588355,0.724569190578956,0.8778630296037238,0.9117418972487987,0.907481191427205,0.9149472943995102,0.6578030269183045,0.9052008949610965,0.9171601611946686,0.9408901347186318,0.8958075772890517,0.9287819706775924,0.5777526621045608,0.5408959970905165,0.7044752297003001,0.2103084508899401,0.8282460849615838,0.19727640499791255,0.5865752859109337,0.7590082750725068,0.8431884310666309,0.40579289157305554,0.6085621797964957,0.7498902332688346,0.69396511635109,0.6927577680552737,0.38109852516439724,0.8048870327473814,0.6805273538427183,0.6690542543139,0.7890754040938698,0.4923448991979389,0.7755075823499427,0.45478159016296205,0.5953784830057347,0.7129921372911778
"Basil (Comoro Islands) 2 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.7753489812254548,0.7769512371380025,0.8576079725197663,0.8358453005859843,0.8602562049100444,0.8540344198157106,0.6038282581023696,0.9454800513769377,0.9370177252956245,0.8853025623368712,0.9065875958688062,0.8662978951881494,0.9414395193930076,1.0,0.39189284982796047,0.9235870820305777,0.9034612333445864,0.5054817158774675,0.9114388957411536,0.6239020748664947,0.20210237213788462,0.9499495065814869,0.8970725275993696,0.9383144988669454,0.7440029090700733,0.7327517946990914,0.8894163240345411,0.9262106425206114,0.9203902619956904,0.9375070831074901,0.6640019547877903,0.9145469666274103,0.9082955704413376,0.9921747174040749,0.9035005606599316,0.9549249571759627,0.5822708060565784,0.5452884099638653,0.7092030630968993,0.21305809476321436,0.8339370367646184,0.20221349528003696,0.589680855178092,0.7647936303586942,0.8532896209237386,0.4080943242879861,0.6217732969218706,0.7636679210412998,0.7074637903463289,0.7009535364387798,0.387042730064018,0.8024075470065607,0.6939456104883519,0.6760601810121644,0.80494686255426,0.48685701636675605,0.7910319507882979,0.4649211287519175,0.6070071434633777,0.7265103522275795
"Basil (Cuba) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.18715018177654252,0.4890168934815131,0.26170193826396804,0.24507383222668067,0.2683750393923172,0.4656773122572514,0.36918618043818996,0.36538332279272445,0.3975624533065022,0.30447289984257964,0.32443147129427163,0.2716672349329783,0.3894654113341288,0.39189284982796047,1.0,0.3269082775746329,0.46193517683882535,0.8113517444942285,0.3790430795074782,0.4846341239766566,0.48154498143687396,0.38592072997822524,0.4727638538146066,0.4093176855598255,0.5937859855532364,0.536943677216116,0.47200109986055594,0.43257820528368496,0.3918596056161585,0.41470680824753614,0.6624699736638058,0.39461329317140204,0.31944612690196517,0.39188501293938205,0.4426926466652661,0.42291016620265975,0.3890872630809684,0.36231002241271437,0.3374170518772692,0.5343856566521485,0.24448889540892593,0.4050016071850473,0.42697351847406473,0.3505214719761547,0.32029073152694876,0.5056516615318924,0.45417858694562374,0.45501743073693557,0.43853220442891083,0.545785025346414,0.45949323474333104,0.5205924263444474,0.4646909521431395,0.45767628585488573,0.438376941472136,0.6636636569935255,0.4225044710760495,0.5698948846575789,0.5011586966848376,0.4480929842927933
"Basil (Denmark) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.8415070521869962,0.7259157795367379,0.9178043674628753,0.8969572445075493,0.915697107035894,0.7964818424867939,0.5760532446195719,0.9425921937262756,0.9006592996867933,0.9224370103541726,0.9439084310381388,0.9285407734325147,0.9084254913800169,0.9235870820305777,0.3269082775746329,1.0,0.8447572152893693,0.44555091750208664,0.9067588864288555,0.6022816822451544,0.1454116872161818,0.9257788453007314,0.8327886511999198,0.8928757647409968,0.6891737041833751,0.6810344241662629,0.8283401592962245,0.8734737118643086,0.8947341384970506,0.8874302765115145,0.5970480210623472,0.892763433943855,0.9418211108089569,0.9245625240810206,0.8519849038553698,0.8966613465847186,0.549609153632612,0.5153363913858025,0.6950402988130331,0.15688846029307824,0.8942496412482294,0.1475053012938129,0.5509518925157009,0.7508204821973545,0.8723467777015722,0.35986524992532565,0.5761642124202867,0.7170711717977297,0.6654249814864635,0.6424741022431446,0.3364147315704388,0.7416189183335078,0.6472544121934578,0.633142213866231,0.7603795211566875,0.42155429179578385,0.7516429637967177,0.40408427373564104,0.5550106936094974,0.682493391630947
"Basil (Egypt) 2 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.6915419721564299,0.8136032473865217,0.7730083794185366,0.752113908706614,0.7779303074000601,0.8894880224987377,0.6160307429357754,0.8652887839335699,0.8905856408354977,0.8030528697396864,0.8255677927876596,0.7958419736229456,0.8841047366395207,0.9034612333445864,0.46193517683882535,0.8447572152893693,1.0,0.5762392199121796,0.8657677856333583,0.6620735275543927,0.29019075545047146,0.884335964852548,0.9346153730879727,0.8925640247451871,0.8101183643442502,0.7920905037893193,0.9237132345891677,0.8975411585902227,0.8711740088403782,0.8989255091568729,0.7284626809939145,0.8553082669436597,0.8264115182773144,0.904188522041106,0.8847768815995933,0.9320762847340818,0.6026524747414735,0.5635532343970464,0.6986361489422083,0.28070124191496126,0.7545324520853641,0.25873514341254655,0.6173860064549931,0.7483202620589477,0.8064050804287676,0.4633519418881127,0.6547615474891384,0.7861723895584734,0.7283358521591072,0.7586603410867849,0.43609692329059646,0.8327996519663134,0.7247066751711644,0.707354118371365,0.8198342648044843,0.5486083510178839,0.8002004336852497,0.5258888819565027,0.6494787737884984,0.7504448305946769
"Basil (Finland) - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.3038184042884017,0.5850449379581604,0.3799453179419482,0.362225172431629,0.3842967201829165,0.5686336173261832,0.4486598807437786,0.48260586945629536,0.5130300193129935,0.4200927249823754,0.4413987327876925,0.39304812210266105,0.5047242825846918,0.5054817158774675,0.8113517444942285,0.44555091750208664,0.5762392199121796,1.0,0.5019341079292634,0.6283807710199079,0.46354762882294154,0.5050405018844276,0.5840304735672481,0.5207302920400447,0.7232664331699539,0.6322200837808561,0.583905512220078,0.5448048996858939,0.5064564245433703,0.5250119363329906,0.7347886427975756,0.5096212314649082,0.4370014010798229,0.505540792847627,0.5541443524621854,0.5395613741794061,0.4623635030711205,0.4316342508312576,0.4357400070383364,0.4973284217067746,0.3646601547744982,0.3839749727102314,0.49911804503441193,0.4537407911820065,0.4348801851726717,0.5444938942804525,0.5162586730332596,0.543291567938548,0.518899235483187,0.6245734150925322,0.4727573203871527,0.6152390415133828,0.5408393270620461,0.5393656671390921,0.5336592661481829,0.6629730959627649,0.5167425149502325,0.5767186581888866,0.5562191854418898,0.5310551883762982
"Basil (France) 2 - Ocimum basilicum L., fam. Lamiaceae (Labiatae)",0.7848014456043257,0.7700349920726247,0.8653451509031486,0.841135583460549,0.8634580128343547,0.837947416482731,0.5984206684469132,0.9373422047869151,0.9373918630683935,0.875972290511227,0.9071814695628821,0.867153465955702,0.9067355752983599,0.9114388957411536,0.3790430795074782,0.9067588864288555,0.8657677856333583,0.5019341079292634,1.0,0.6787884265102614,0.1850752265776301,0.9387208317477574,0.8647941636453471,0.904034712133591,0.754574214447643,0.7293045773494694,0.8754227572276754,0.8971778565334075,0.901506229608708,0.8730640174909301,0.6430447865345816,0.8819478607104609,0.9061117463581809,0.911318701538778,0.8689853339951371,0.9096714661226312,0.5777536125485551,0.5409573368038179,0.7076318928648095,0.21425211221371243,0.8426892097762945,0.19382848590826363,0.5834866489843293,0.7630450338279242,0.8508683077079575,0.4133398506563093,0.6080372615205302,0.7515473743325338,0.6953453757991519,0.6892146469540243,0.37828893298223043,0.7665678598957495,0.6808354811522832,0.668125856717144,0.7910846910225819,0.4653331443082047,0.7781154709099809,0.4515354072940746,0.5945541899007207,0.7137472784438308
