,"Alpinia speciosa leaf (Egypt) - Alipinia speciosa (J.C. Wendl.) K. Schum., fam. Zingiberaceae","Alpinia speciosa rhizome (Egypt) - Alpinia speciosa (J.C. Wendl.) K.Schum., fam. Zingiberaceae","Alpinia speciosa stem (Egypt) - Alpinia speciosa (J.C. Wendl.) K.Schum., fam. Zingiberaceae","Blumea brevipes - Blumea brevipes (Oliv. & Hiern) Willd., fam. Asteraceae (Compositae)","Calycolpus australis leaf - Calycolpus australis Landrum, fam. Myrtaceae","Cupressus macrocarpa leaf (Argentina) - Cupressus macrocarpa Hartw., fam. Cupressaceae","Juniperus foetidissima leaf - Juniperus foetidissima Willd., fam. Cupressaceae","Marjoram, sweet (Egypt) 1 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Egypt) 2 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Egypt) 4 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (France) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Germany) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Hungary) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (India) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Portugal) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Rumania) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Tunisia) 1 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet (Tunisia) 2 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet 1 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet 3 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Marjoram, sweet 4b standard essential oil - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)","Melaleuca parviflora - Melaleuca parviflora Link., fam. Myrtaceae","Origanum majorana var. tenuifolium - Origanum majorana L. var. tenuifolium, fam. Lamiaceae (Labiatae)","Styrax (Levant) - Liquidamber orientalis Mill. var. orinetalis, fam. Hamamelidaceae","Tea Tree (Australia)  1 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia)  2 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia)  3 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia)  6 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia)  7 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia)  8 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia) 10 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia) 11 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia) 12 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia) 13 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia) 14 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Australia) 15 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (China) - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (Hungary) - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree (India) - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree 1 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Tea Tree 2 - Melaleuca alternifolia (Maiden et Betche) Cheel, fam. Myrtaceae","Triphasia trifolia Mauritius - Triphasia trifolia (Burm. f.), fam. Rutaceae"
"Alpinia speciosa leaf (Egypt) - Alipinia speciosa (J.C. Wendl.) K. Schum., fam. Zingiberaceae",1.0,0.6937787523260124,0.8032509554474009,0.3515025557577395,0.40133022208607716,0.3152306388384598,0.3062299295638171,0.3904301339038392,0.23723892566131077,0.48918751193962706,0.16284458392242662,0.43834930268630345,0.3962407544230664,0.27860612244030836,0.20353450111023352,0.3721175515306345,0.4447854343974128,0.39723216431140385,0.2670418916282501,0.5575439796676998,0.4758270249729981,0.1810926923564513,0.3636457650861433,0.35486355735064856,0.5310197559656993,0.19554142826478726,0.20154939695510588,0.18874682301142187,0.25215371707976764,0.25747794427620974,0.3236201639435685,0.31742438221193314,0.2933378884073162,0.25215907067197707,0.2952906951835178,0.3395336520919193,0.2887890287953764,0.1743251035854403,0.3114795278246614,0.2636703714954469,0.27565247420780636,0.19467707907316956
"Alpinia speciosa rhizome (Egypt) - Alpinia speciosa (J.C. Wendl.) K.Schum., fam. Zingiberaceae",0.6937787523260124,1.0,0.6865113203375676,0.35313137980358866,0.31159827917872784,0.28458491425338117,0.29234005520356965,0.38463138324242097,0.2021301738449297,0.4293432803267465,0.15144375810851884,0.3820919364784081,0.3702376088509358,0.2323934249624635,0.19285546939910103,0.33974839958311376,0.4103788076394682,0.38125089613852625,0.23783643022827117,0.4988144539360697,0.4170617343116412,0.19177876794545023,0.31237289900272114,0.32985997988124427,0.5113263641937531,0.2002007879216492,0.22902294143229263,0.20634746655486536,0.2580191348857386,0.2548959724146479,0.32405365074319137,0.31997097842541367,0.3052958463911116,0.256094827030239,0.30004951894079057,0.3349968266614606,0.28985520128852726,0.18461781926517662,0.29965897501645467,0.2651594532561937,0.2938215987702866,0.20451817011804996
"Alpinia speciosa stem (Egypt) - Alpinia speciosa (J.C. Wendl.) K.Schum., fam. Zingiberaceae",0.8032509554474009,0.6865113203375676,1.0,0.39853692190157786,0.45319092818759255,0.33208778550129625,0.37941672744213506,0.4534700783522345,0.27539185919600095,0.5050985468246283,0.2296210783312146,0.5255963285381717,0.47212167310040465,0.3294021894819956,0.2619421542029572,0.44311879940644283,0.5218510237111715,0.43819058991099524,0.31210815670103553,0.586396812871204,0.49689767166098,0.16759134485344085,0.43276615330775003,0.4172359002589219,0.517423518777783,0.18736480145347156,0.20240744411171963,0.18927348064256566,0.23330543926710734,0.262244498574039,0.3191569471239538,0.30718813580422,0.28845697514002777,0.24284989830963655,0.28416831685083055,0.3374575239944829,0.28191027805967717,0.15716673351165333,0.29060795970536235,0.25224896243360306,0.2695637248989653,0.26830671774767423
"Blumea brevipes - Blumea brevipes (Oliv. & Hiern) Willd., fam. Asteraceae (Compositae)",0.3515025557577395,0.35313137980358866,0.39853692190157786,1.0,0.23818869141800325,0.34793331327486954,0.304717355049818,0.4808478939014482,0.3053330987337638,0.4236893044354959,0.1812709127855633,0.36877052858052195,0.4180615447426691,0.2524887007721187,0.3004998783144077,0.35157539199588095,0.3997445557649292,0.4657758792611706,0.23371244407429081,0.4712017922404401,0.34947300783849855,0.25919891916199556,0.26096296052496715,0.3877138012064276,0.31518179087266274,0.27083555142150295,0.30097928931072926,0.2945611520499495,0.2736902747361162,0.3625618530386312,0.3585160381860918,0.32337404584508456,0.33778900071798235,0.3069401506493348,0.31894255825340867,0.36635553007641464,0.34428770451738344,0.23342286671950196,0.29284109326399044,0.3082240766360169,0.34720404716311615,0.3066697834130533
"Calycolpus australis leaf - Calycolpus australis Landrum, fam. Myrtaceae",0.40133022208607716,0.31159827917872784,0.45319092818759255,0.23818869141800325,1.0,0.10471317225117815,0.278445636143447,0.3431880336220431,0.1718478831190382,0.5163757622235974,0.1276765687585193,0.40675692521249807,0.34015453707993504,0.1422769709470304,0.09333061403555021,0.30753977120959375,0.43640981107818533,0.3443547390354108,0.1989432484803042,0.5243041188093617,0.4852879797658717,0.09106077014784197,0.3183950907210016,0.2783871364868362,0.23320702295595708,0.1845162423939012,0.10511719431091993,0.11702906633241861,0.19391626108813376,0.2176672044592166,0.25264473885562677,0.25821963114710345,0.23078755538421702,0.2268339443443409,0.25450573334924453,0.3089248023044522,0.22001461435100433,0.09557969004959344,0.2698501923731905,0.23227936708886776,0.19532319883444937,0.1481048567315707
"Cupressus macrocarpa leaf (Argentina) - Cupressus macrocarpa Hartw., fam. Cupressaceae",0.3152306388384598,0.28458491425338117,0.33208778550129625,0.34793331327486954,0.10471317225117815,1.0,0.17182108395310292,0.38751757228216566,0.31963440941825383,0.3213135373824254,0.09130098841757339,0.2568600013990965,0.3138152482442833,0.2117172083252965,0.27128063584174167,0.23490248762623267,0.2723434024670247,0.3551310959388674,0.1129572617918363,0.34692447414247585,0.2096103086629787,0.2217243200152771,0.1750194618661458,0.319816727169997,0.3019619578479471,0.18811758609025941,0.2465306393689941,0.2470525559867328,0.1847568809094584,0.2863582476486428,0.2630590071456165,0.250499391884087,0.2569781058430528,0.2084747102039114,0.21905983204710422,0.2786603765716862,0.23406011929110926,0.1633189081110017,0.22506313340310824,0.22953028703552514,0.2587284474079523,0.2092066469879127
"Juniperus foetidissima leaf - Juniperus foetidissima Willd., fam. Cupressaceae",0.3062299295638171,0.29234005520356965,0.37941672744213506,0.304717355049818,0.278445636143447,0.17182108395310292,1.0,0.3403462645493184,0.20932864117163053,0.30512001056211524,0.1741846718954203,0.38249702935773555,0.3537615130277286,0.20479240576668212,0.17979045113870362,0.32021458408654757,0.368818008106399,0.3251027981222995,0.21177985121048293,0.37743192591140484,0.3041473078805904,0.07784760320436557,0.26034759741276825,0.23784214003864557,0.2498985303006489,0.12361405421988192,0.11354371746630165,0.10942790603926755,0.12531387601621824,0.1812100725446657,0.21919358362601093,0.1869231919801554,0.1887431753058998,0.15878236110139432,0.18334324359090637,0.21930134461790474,0.1843633850449894,0.05528980883546819,0.156469151823452,0.14947493273840506,0.18265345647264075,0.23893159327786007
"Marjoram, sweet (Egypt) 1 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)",0.3904301339038392,0.38463138324242097,0.4534700783522345,0.4808478939014482,0.3431880336220431,0.38751757228216566,0.3403462645493184,1.0,0.5781804096719747,0.608987920252477,0.2774638319012809,0.49504860350239765,0.6816739036050032,0.3300571190704238,0.527747793784536,0.4838428266209074,0.5821556014093676,0.7177674328958514,0.2742776939116097,0.5517807109641257,0.42804712260955113,0.45704588407599156,0.36733624369201323,0.48725041887449705,0.4741661704243568,0.43572763838818673,0.5141054823118607,0.5133686430238267,0.42527556212967965,0.5430308603325404,0.5216909277242905,0.49380714933257774,0.516640744596983,0.46201550345144815,0.47106618596259453,0.5359950273776659,0.5102059350461163,0.3972267736382996,0.4452254795023488,0.49000215755534793,0.5010219024291735,0.4254407556605485
"Marjoram, sweet (Egypt) 2 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)",0.23723892566131077,0.2021301738449297,0.27539185919600095,0.3053330987337638,0.1718478831190382,0.31963440941825383,0.20932864117163053,0.5781804096719747,1.0,0.3547755115871716,0.1593968176486128,0.3409567776237209,0.4840100713171247,0.2420084962290746,0.43857549294633746,0.3096085895410746,0.36239497737632564,0.4681139030703799,0.10408100783617946,0.29675382584579835,0.17741604604206063,0.2769149488732613,0.15994057733012645,0.19149254758161427,0.36011905256160226,0.2157290046650785,0.31242458541793294,0.3192645930641861,0.2019337717684091,0.32386268150060504,0.28996416613503406,0.26039274534784906,0.28992739322644323,0.23052038081226978,0.23818290284508226,0.31251319974175296,0.28935798307023186,0.20183660660746217,0.2260802379520196,0.2664510120781365,0.3037815508555344,0.2896618676312811
"Marjoram, sweet (Egypt) 4 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)",0.48918751193962706,0.4293432803267465,0.5050985468246283,0.4236893044354959,0.5163757622235974,0.3213135373824254,0.30512001056211524,0.608987920252477,0.3547755115871716,1.0,0.1892246354107282,0.45292995087703436,0.5174029585610687,0.2761353082261111,0.311249373707681,0.4197074087087832,0.5526449395111455,0.6168237391897771,0.29872810060063637,0.7320891689596576,0.6215824085644551,0.4225357913973553,0.37701564343638094,0.4506873369557616,0.4225162985038675,0.4929649324821591,0.42772835799279163,0.44559736957146057,0.4925678748173561,0.5442708081633054,0.5568941310981141,0.5586977500852676,0.5376037104972864,0.5246383919733442,0.545301044858076,0.6096555219183872,0.532249014084099,0.4143446850624952,0.5696416457353164,0.529343081996136,0.5044486246626041,0.2667230091673307
"Marjoram, sweet (France) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)",0.16284458392242662,0.15144375810851884,0.2296210783312146,0.1812709127855633,0.1276765687585193,0.09130098841757339,0.1741846718954203,0.2774638319012809,0.1593968176486128,0.1892246354107282,1.0,0.3048314038837028,0.31378248195536607,0.19769068141707424,0.21438733334338822,0.28418558242024416,0.28456159687826776,0.29780040203965585,0.1713859378149244,0.21812050109130432,0.18048225362280423,0.02879329540159037,0.23568212626180063,0.1559826245068876,0.14789380514469896,0.039743394546570165,0.06912925187752395,0.06465359819215044,0.03897653961624625,0.10799405398724371,0.12204384447234817,0.09504882737450193,0.10254578111744339,0.06851640916479784,0.08553175139328895,0.12622738006185663,0.10055335555248668,0.0,0.061616503648053045,0.07351138055679018,0.09488707142156882,0.40369779874573064
"Marjoram, sweet (Germany) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)",0.43834930268630345,0.3820919364784081,0.5255963285381717,0.36877052858052195,0.40675692521249807,0.2568600013990965,0.38249702935773555,0.49504860350239765,0.3409567776237209,0.45292995087703436,0.3048314038837028,1.0,0.7417507391702939,0.5894674901462673,0.45967315514167106,0.8103755916202597,0.7739785411456955,0.5588792344588044,0.589433005084096,0.5163557264369512,0.5486298647381063,0.11375483830261945,0.6572005387964259,0.35882175045536335,0.2959880260110881,0.15454616913883634,0.1503683161622621,0.15102930819338256,0.15817379820331823,0.2285451870142624,0.2519775354501992,0.2286556085102034,0.22420347608759172,0.19181843406038768,0.21741581597888615,0.27442962112487324,0.22130946056350154,0.09143908280978352,0.20801795954114588,0.19474268371390469,0.20758215761915488,0.27956185777565523
"Marjoram, sweet (Hungary) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)",0.3962407544230664,0.3702376088509358,0.47212167310040465,0.4180615447426691,0.34015453707993504,0.3138152482442833,0.3537615130277286,0.6816739036050032,0.4840100713171247,0.5174029585610687,0.31378248195536607,0.7417507391702939,1.0,0.5577594960158685,0.6185505868651091,0.7661401377024669,0.7672562125151876,0.7278438497495657,0.5225165516353178,0.5198112756550951,0.5172248066945139,0.2871320979065507,0.5894029743465071,0.4130505087965095,0.3791981185596649,0.29557802883522977,0.3328723235394243,0.3321486431994011,0.2926856625471762,0.382161194404564,0.3847740153682043,0.3595149153787973,0.368443508665219,0.3269787884776926,0.3433150371451945,0.4014094121015558,0.3644836389323497,0.2493071156742599,0.32434342622192014,0.3394427744803299,0.35231307385675337,0.35390182067323395
"Marjoram, sweet (India) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)",0.27860612244030836,0.2323934249624635,0.3294021894819956,0.2524887007721187,0.1422769709470304,0.2117172083252965,0.20479240576668212,0.3300571190704238,0.2420084962290746,0.2761353082261111,0.19769068141707424,0.5894674901462673,0.5577594960158685,1.0,0.566275306611401,0.6678688366130807,0.4542299190450889,0.4818299106234324,0.6568294571366089,0.30552131207502053,0.3518784123490871,0.09537018111121576,0.6281412582302732,0.21679503219182827,0.228294954278773,0.08894808384731612,0.12361597425888438,0.12868331165904578,0.08306167289842992,0.17340452861559397,0.1596811859663123,0.14085161181586303,0.15010536045568867,0.10767738763072099,0.12037939858344415,0.1815415418704761,0.1465320800953438,0.04276785747393619,0.12143992571441575,0.11817369888252827,0.14625076620876698,0.16692257495758578
"Marjoram, sweet (Portugal) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)",0.20353450111023352,0.19285546939910103,0.2619421542029572,0.3004998783144077,0.09333061403555021,0.27128063584174167,0.17979045113870362,0.527747793784536,0.43857549294633746,0.311249373707681,0.21438733334338822,0.45967315514167106,0.6185505868651091,0.566275306611401,1.0,0.5373161877225496,0.4078416293208422,0.611621959177731,0.3896611644461091,0.26085670101325187,0.24525529482823627,0.29239745337015965,0.4297094937303284,0.2543024228734716,0.3097349626832828,0.21658584347994492,0.34411296026933713,0.34178379686208027,0.20214900946104686,0.32931255490319844,0.28173972287263493,0.256895762614601,0.2878365130016043,0.2278593556261702,0.23044761679974946,0.2906979795529787,0.28681708732144184,0.21434209652067215,0.20617750408572033,0.2698022347094382,0.29129437864500296,0.3063856347935514
"Marjoram, sweet (Rumania) - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)",0.3721175515306345,0.33974839958311376,0.44311879940644283,0.35157539199588095,0.30753977120959375,0.23490248762623267,0.32021458408654757,0.4838428266209074,0.3096085895410746,0.4197074087087832,0.28418558242024416,0.8103755916202597,0.7661401377024669,0.6678688366130807,0.5373161877225495,1.0,0.7337550775618217,0.6135652937935845,0.7084089598613186,0.4667370494767883,0.5417945211708244,0.16785369001260464,0.7097027825260704,0.3273526303700598,0.2757131563396218,0.19933158994907874,0.20637579717186194,0.20452272899614443,0.20152236393818435,0.26716175575220313,0.28669880102209255,0.2615072157667122,0.2635059704350122,0.23381213699585768,0.2536102210586261,0.30127435997444085,0.26220552890534365,0.146866126916241,0.23646256097632234,0.23625125219656662,0.2500727147356101,0.2574643863540146
"Marjoram, sweet (Tunisia) 1 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)",0.4447854343974128,0.4103788076394682,0.5218510237111715,0.3997445557649292,0.43640981107818533,0.2723434024670247,0.368818008106399,0.5821556014093676,0.36239497737632564,0.5526449395111455,0.28456159687826776,0.7739785411456955,0.7672562125151876,0.4542299190450889,0.4078416293208422,0.7337550775618217,1.0,0.6115528675501152,0.5221718623350091,0.6125942801413841,0.6403638035420294,0.19838008940900276,0.5920594755420481,0.43852640326212977,0.3130492223165452,0.2563331523533555,0.2391155446778731,0.23811911720748347,0.2641882797531312,0.3191495327094964,0.3508142367241359,0.33043259303699546,0.3224524665637992,0.3007084470516208,0.3251597585922624,0.37852800142024146,0.31975074595809105,0.19271170644313718,0.31362818433571993,0.2934572040691392,0.2958808071566744,0.2852046238904027
"Marjoram, sweet (Tunisia) 2 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)",0.39723216431140385,0.38125089613852625,0.43819058991099524,0.4657758792611706,0.3443547390354108,0.3551310959388674,0.3251027981222995,0.7177674328958514,0.4681139030703799,0.6168237391897771,0.29780040203965585,0.5588792344588044,0.7278438497495656,0.4818299106234324,0.611621959177731,0.6135652937935845,0.6115528675501152,1.0,0.47286145235460264,0.5642324064668804,0.532072526058146,0.49624940324631894,0.5077669891509734,0.4197979574245486,0.4419492990310041,0.49922416948400716,0.5395790519225512,0.541713799779294,0.49095789173212345,0.5790858135148926,0.5767505290207018,0.5467649769386919,0.5679381752213133,0.5268894308522966,0.5339736174187077,0.5856452669504666,0.5648775458963253,0.45480762517376494,0.5065058265647899,0.5503646466831267,0.5562432074621675,0.3782013087984335
"Marjoram, sweet 1 - Majorana hortensis Moench, Origanum majorana L., fam. Lamiaceae (Labiatae)",0.2670418916282501,0.23783643022827117,0.31210815670103553,0.23371244407429081,0.1989432484803042,0.1129572617918363,0.21177985121048293,0.2742776939116097,0.10408100783617946,0.29872810060063637,0.1713859378149244,0.589433005084096,0.5225165516353178,0.6568294571366089,0.3896611644461091,0.7084089598613186,0.5221718623350091,0.47286145235460264,1.0,0.3609962044973698,0.4984875009854226,0.09083018841089718,0.6951278155825449,0.20364061675928613,0.15200284268363795,0.14389489662987065,0.11983179816982126,0.11935562853417891,0.14964123836748977,0.18341340901969416,0.21773655443367945,0.19464750289130717,0.19218898448567345,0.17841547956815063,0.19574153595221355,0.23101898055179682,0.19308978600980475,0.09059807002561715,0.18406205858893843,0.1651238880424829,0.17822322714962047,0.11716757030203495
