,"Achillea abrotanoides - Achillea abrotanoides (Vis.) Vis., fam. Asteraceae (Compositae)","Achillea serbica - Achillea serbica Nym., fam. Asteraceae (Compositae)","Achillea wilhelmsii (Egypt) - Achillea wilhelmsii C. Koch (A. santolina Auct. Mult.), fam. Asteraceae","Achillea wilhelmsii (Turkey) - Achillea wilhelmsii C. Koch (A. santolina Auct. Mult.), fam. Asteraceae","Amomum villosum (China) 1a - Amomum villosum Lour. var. xanthioides, fam. Zingiberaceae","Annual wormwood (Finland) - Artemisia annua L., fam. Asteraceae (Compositae)","Annual wormwood (Vietnam) 1 - Artemisia annua L., fam. Asteraceae (Compositae)","Annual wormwood (Vietnam) 2a - Artemisia annua L., fam. Asteraceae (Compositae)","Artemisia abaensis (China) - Artemisia abaensis Y.R. Ling et S.Y. Zhao, fam. Asteraceae (Compositae)","Artemisia aksaiensis (China) - Artemisia aksaiensis Y.R. Ling, fam. Asteraceae (Compositae)","Artemisia arborescens (U.S.A.) - Artemisia arborescens L., fam. Asteraceae (Compositae)","Artemisia aucheri (Iran) 1 - Artemisia aucheri Boiss., fam. Asteraceae (Compositae)","Artemisia austriaca (Turkey) - Artemisia austriaca Jacq., fam. Asteraceae (Compositae)","Artemisia diffusa (Iran) 2 - Artemisia diffusa Krasch. ex Poljak., fam. Asteraceae (Compositae)","Artemisia glacialis (Italy) - Artemisia glacialis L., fam. Asteraceae (Compositae)","Artemisia kawakamii (China) - Artemisia kawakamii Hayata, fam. Asteraceae (Compositae)","Artemisia vallesiaca (Italy) - Artemisia vallesiaca All., fam. Asteraceae (Compositae)","Curcuma aromatica (India) 1 petiole - Curcuma aromatica Salisb., fam. Zingiberaceae","Curcuma aromatica (India) 2a leaf - Curcuma aromatica Salisb., fam. Zingiberaceae","Curcuma aromatica (India) 2b rhizome - Curcuma aromatica Salisb., fam. Zingiberaceae","Lavandula stoechas (ssp. pedunculata A) - Lavandula stoechas L. (ssp. pedunculata, Chemotype A), fam. Lamiaceae","Lavandula stoechas (ssp. sampaioana A) - Lavandula stoechas L. (ssp. sampaioana, Chemotype A), fam. Lamiaceae","Lavandula stoechas (ssp. stoechas) - Lavandula stoechas L. (ssp. stoechas), fam. Lamiaceae (Labiatae)","Melia dubia (India) - Melia dubia Cav., fam. Meliaceae","Picea engelmanni needle - Picea engelmanni (Parry) Engelm., fam. Pinaceae","Rosemary (Brazil) 2 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Chile) - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Cuba) - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (France) 3 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Hungary) 1 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Hungary) 2a - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Japan) - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (South Africa) 2 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Spain) 7 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosemary (Spain) 8 - Rosmarinus officinalis L., fam. Lamiaceae (Labiatae)","Rosmarinus eriocalyx (Algeria) 1 - Rosmarinus eriocalyx Jordan & Fourr., fam. Lamiaceae (Labiatae)","Rosmarinus eriocalyx (Spain) - Rosmarinus eriocalyx Jordan & Fourr., fam. Lamiaceae (Labiatae)","Rosmarinus tomentosus (Spain) - Rosmarinus tomentosus Huber-Morath & Maire, fam. Lamiaceae (Labiatae)","Sage, dalmatian (Greece) - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian (Portugal) - Salvia officinalis L., fam. Lamiaceae (Labiatae)","Sage, dalmatian var. Berggarten (USA) - Salvia officinalis L. var. Berggarten, fam. Lamiaceae (Labiatae)","Sage, dalmatian var. Compacta (USA) - Salvia officinalis L. var. Compacta, fam. Lamiaceae (Labiatae)","Sage, spanish (Spain)  1 - Salvia lavandulaefolia Vahl., fam. Lamiaceae (Labiatae)","Sage, spanish (Spain)  3 - Salvia lavandulaefolia Vahl., fam. Lamiaceae (Labiatae)","Sage, spanish (Spain)  4 - Salvia lavandulaefolia Vahl., fam. Lamiaceae (Labiatae)","Sage, spanish (Spain)  6 - Salvia lavandulaefolia Vahl. ssp. vellerea (Chemotype 1), fam. Lamiaceae","Sage, spanish (Spain)  7 - Salvia lavandulaefolia Vahl. ssp. vellerea (Chemotype 2), fam. Lamiaceae","Sage, spanish (Spain)  9 - Salvia lavandulaefolia Vahl., fam. Lamiaceae (Labiatae)","Sage, spanish (Spain) 10 - Salvia lavandulaefolia Vahl, fam. Lamiaceae (Labiatae)","Sage, spanish (Spain) 12 - Salvia lavandulaefolia Vahl, fam. Lamiaceae (Labiatae)","Sage, spanish (Spain) 13 - Salvia lavandulaefolia Vahl., fam. Lamiaceae (Labiatae)","Sage, spanish (Spain) 14 - Salvia lavandulaefolia Vahl., fam. Lamiaceae (Labiatae)","Sage, spanish 1 - Salvia lavandulaefolia Vahl., fam. Lamiaceae (Labiatae)","Salvia aucheri (Turkey) 1a var. aucheri - Salvia aucheri Benth. var. aucheri, fam. Lamiaceae (Labiatae)","Salvia aucheri (Turkey) 1b var. canenscens - Salvia aucheri Benth. var. canenscens, fam. Lamiaceae (Labiatae)","Salvia tomentosa (Turkey) leaf - Salvia tomentosa Mill., fam. Lamiaceae (Labiatae)","Santolina canescens - Santolina rosmarinifolia (L.) ssp. canescens (Lag.) Nyman, fam. Asteraceae","Santolina chamaecyparisus (Spain) - Santolina chamaecyparisus L., ssp. squarrosa DC., fam. Asteraceae","Tanacetum khorassanicum (Iran) - Tanacetum khorassanicum (Krasch.) Parsa, fam. Asteraceae (Compositae)","Tansy (U.S.A.) - Tanacetum vulgare L., fam. Asteraceae (Compositae)","Thymus funkii - Thymus funkii Cosson, fam. Lamiaceae (Labiatae)","Yarrow (India) - Achillea millefolium L., fam. Asteraceae (Compositae)","Yarrow - Achillea millefolium L., fam. Asteraceae (Compositae)"
"Achillea abrotanoides - Achillea abrotanoides (Vis.) Vis., fam. Asteraceae (Compositae)",1.0,0.1550739852232298,0.44302915719214997,0.526076611802244,0.44859871321198097,0.4153202222091753,0.5613835110110561,0.4478127472851743,0.5827049087368026,0.6361034535980292,0.41474621468936623,0.4438692492991432,0.3613383854290979,0.5244225998256089,0.525970000166869,0.40751819478729856,0.2907673310435144,0.5361766794165399,0.4505088403811961,0.4216711944093674,0.47081815693174156,0.3318426808098426,0.1796623134263995,0.4856657910342953,0.3337369580855978,0.5257858712086448,0.4102549430665873,0.467851905071184,0.5549186795746939,0.5350574046962179,0.5005578933337415,0.6568206694310919,0.4885996938345426,0.49166868452566825,0.4632760636708415,0.44282206681683856,0.5346572935767339,0.39139533545615457,0.5911391267471546,0.5927398921123099,0.5292767938329037,0.6166024549542517,0.6073561082596672,0.6166436050833701,0.6049938127584171,0.577979896340172,0.502401759100233,0.5849504711344347,0.610589730543565,0.6111464939466438,0.6098569713240845,0.5884775014717082,0.4262393491390667,0.6220118802232317,0.6051388457306026,0.5914814761064413,0.5423934236372372,0.47711690345016,0.44328907690664454,0.3588332488540542,0.6194593670467297,0.4988904962941533,0.586595055699137
"Achillea serbica - Achillea serbica Nym., fam. Asteraceae (Compositae)",0.1550739852232298,1.0,0.1113228718483591,0.271644742634083,0.15409228180790868,0.195901242144205,0.24818523158126415,0.21330737298451896,0.24416910320546426,0.22008160888593498,0.14062227100990976,0.18515978874139005,0.19443063121839776,0.2400449174913225,0.2961039104500659,0.23886305061873514,0.16940274478433803,0.21805764127200578,0.2641640441245521,0.2721226794632077,0.18922518795803633,0.2225479171621031,0.0,0.14027452232466986,0.1764422286602575,0.20841862238325093,0.16022502915713033,0.26943034623903495,0.22783670601301964,0.25756957321319285,0.12076289397664963,0.2049020566518237,0.19522991163011083,0.2588789917671682,0.248652810969758,0.19556022080665614,0.2192077425333413,0.23292587204167547,0.20113824532038838,0.2467630081360902,0.22880814406525674,0.20302217974343306,0.17303292156588357,0.2750271036895504,0.22702675910547576,0.2575204135213649,0.17769275373990367,0.26551127065438695,0.22030636400871084,0.19759474422301826,0.24655090417308512,0.23245285957998196,0.23468657593372133,0.23060936787548048,0.18495715977185478,0.21984765244782334,0.19002218411186744,0.20662111329665556,0.137208736399409,0.18750848248549223,0.16373654198022247,0.26685082272272387,0.18852586017198847
"Achillea wilhelmsii (Egypt) - Achillea wilhelmsii C. Koch (A. santolina Auct. Mult.), fam. Asteraceae",0.44302915719214997,0.1113228718483591,1.0,0.38746142059365885,0.26404319878476,0.3372805192686724,0.4489429467102163,0.38369123056332277,0.4956519059930734,0.5176194882315037,0.34285656487992267,0.3707280640142926,0.24605340068187165,0.3539052672050169,0.4109645603248444,0.36496442272834695,0.20585059790862803,0.44740318990983496,0.3918913553070732,0.3667083747164712,0.3748846923134832,0.2767764152500404,0.12997545218537576,0.33298777751098063,0.24976050531992222,0.3953427014105185,0.3177911371792884,0.3650533315206469,0.40355448519416803,0.43022760205861343,0.33897019481396495,0.462139595805649,0.3549143461717813,0.38323475997313405,0.3613732306116424,0.29725204837554553,0.37167764368961076,0.2893829728836166,0.45516419064930125,0.3836348402757682,0.3852711289338894,0.44847659758994807,0.41565093996765423,0.4456029012410133,0.4490342418103287,0.4171185114202689,0.3916262748929822,0.4763214008742921,0.4304362351719786,0.45778392746413,0.446532404581353,0.4285679518251978,0.31823225272991285,0.4679082166246995,0.4400753699011166,0.4018419682768706,0.4451379287957018,0.36873056892367917,0.3497145742596881,0.2952912498723014,0.4363777125479771,0.41521184239419073,0.4304033862505666
"Achillea wilhelmsii (Turkey) - Achillea wilhelmsii C. Koch (A. santolina Auct. Mult.), fam. Asteraceae",0.526076611802244,0.271644742634083,0.38746142059365885,1.0,0.4323402804008626,0.4780052281296874,0.6284617129976379,0.4701208315504667,0.5369005012699759,0.5873922370734073,0.37037465680259996,0.4579351768471087,0.7569990610949431,0.8265210892643621,0.750063803186778,0.48461965690323816,0.5655772961333305,0.5090938122090514,0.5706262806506261,0.5860258759406602,0.5490309434977174,0.5458456810167451,0.21241823834838858,0.4219048622864259,0.4660951751117819,0.6599029894077288,0.48516810361641705,0.7258695927177881,0.7075970379678231,0.6332725251981499,0.582162839801833,0.5709937579970589,0.7060788555696957,0.7022027788241219,0.7568655797308729,0.6193839104162575,0.6467547780142899,0.6615679037619171,0.5692446242617033,0.651119279980438,0.5578825083791132,0.6234980141016848,0.6340385726925624,0.7273228806082075,0.6922655475978251,0.7563261613009657,0.49133290466949164,0.7069965611126272,0.7122181022799068,0.5342255413577273,0.5839552776448766,0.7528998848232964,0.7629679866130176,0.6939253819212978,0.6350134315506722,0.6269627576010431,0.4997521172529662,0.49288870760608017,0.4091658092791267,0.46338913228519896,0.6110212665737933,0.6406146946798044,0.5288819831660301
"Amomum villosum (China) 1a - Amomum villosum Lour. var. xanthioides, fam. Zingiberaceae",0.44859871321198097,0.15409228180790868,0.26404319878476,0.4323402804008626,1.0,0.36332003511445976,0.4170783400289795,0.41733334890994267,0.4327639002470405,0.36244992937716236,0.36931832031305967,0.3539617172922074,0.27646006181598837,0.4029311791395348,0.4630664967671865,0.4414896647216201,0.31706499038634683,0.42117380019357553,0.44817151666305555,0.4527193561945405,0.3575983657820134,0.3945790481128091,0.1333599560120441,0.49423365288435483,0.561084657848277,0.4138728236312885,0.3975613042455287,0.4856145897633606,0.3776903641157784,0.49568091039134277,0.25318704705657247,0.5557101017443308,0.32192755548583774,0.49396417618455624,0.3948033329410473,0.5007454371544784,0.539370378618245,0.48460392563961563,0.36135511975719403,0.43953088797846473,0.6293868662284544,0.44561223330331057,0.3643995634208328,0.4557189728817861,0.4421890089557552,0.5501267893852392,0.42800835445142016,0.4358669997244349,0.4604840826576886,0.42233177310215586,0.42181512971303836,0.4237497714766998,0.3486617128296361,0.42410959764160516,0.36559122397841437,0.3953548444352549,0.3934363406157605,0.4754373057490502,0.32919716057787074,0.35311635969079125,0.33299542771923596,0.4333472291954604,0.4502855754330207
"Annual wormwood (Finland) - Artemisia annua L., fam. Asteraceae (Compositae)",0.4153202222091753,0.195901242144205,0.3372805192686724,0.4780052281296874,0.36332003511445976,1.0,0.5970279505953238,0.6667773628179482,0.5785214282547382,0.49956925095424,0.4157123851351603,0.41490763296771915,0.3443940535573179,0.4376550997012427,0.5039058998010012,0.45800763986018656,0.3096523691979779,0.4760240480117952,0.49002979493158005,0.4854317893465687,0.4177373839822254,0.40215427626815026,0.1767508466323523,0.42346001199921524,0.37027329207740634,0.44212609584765894,0.3712966702630136,0.47409229341145576,0.45268188085017513,0.49405992511758756,0.3432751482343751,0.4859954696085319,0.4026784746115317,0.47934662786135085,0.43918813503267107,0.4070787610832106,0.46429329675381636,0.4196521061026631,0.4922475794276796,0.4804984736992205,0.4738282022398699,0.47949398548973,0.4295963208954353,0.4883835494736305,0.4785125780799304,0.5081037471788421,0.4317663664313345,0.5154350548147665,0.4738933437275542,0.4917725630681369,0.4539971251321251,0.4749285000935546,0.42001308035136287,0.5052706244655778,0.4474579818229778,0.4510329938399221,0.4456662345126897,0.4310520800864859,0.36185355544599773,0.3803690725098553,0.4263313797715378,0.6121534962038165,0.44133611879375556
"Annual wormwood (Vietnam) 1 - Artemisia annua L., fam. Asteraceae (Compositae)",0.5613835110110561,0.24818523158126415,0.4489429467102163,0.6284617129976379,0.4170783400289795,0.5970279505953238,1.0,0.5484942991571921,0.6668487051197312,0.6779093269254128,0.4344314524337378,0.512514597377175,0.47916717036298107,0.5805608751486906,0.6335613604996035,0.5197943180700193,0.38557406818595485,0.5842170455835431,0.578519477720637,0.5666244792371886,0.539994172236778,0.47332329248235383,0.23687220292937283,0.4458101611563223,0.44220082501184743,0.6301102607019943,0.5309442058456626,0.5840125519262923,0.6038125268317601,0.6204081346802844,0.509793229027221,0.6276648057444796,0.562617778461221,0.621618903665571,0.5936509334516717,0.47943865341856196,0.560312252392438,0.503070192073487,0.6368572055735899,0.5965062293577743,0.5468544273891625,0.6392093791827089,0.5906350207660597,0.6646283014756089,0.6496760719205711,0.6459884404628429,0.5394060135190859,0.6851455708551377,0.6389592874250204,0.6360535601540824,0.6187837324028485,0.6513238204958279,0.562280226139821,0.6662583043984163,0.6068352106694392,0.5923330963402385,0.5891790955833581,0.5161015142342236,0.4598193567925881,0.45124708317743967,0.6050288368784136,0.6197395739214944,0.5639822063060339
"Annual wormwood (Vietnam) 2a - Artemisia annua L., fam. Asteraceae (Compositae)",0.4478127472851743,0.21330737298451896,0.38369123056332277,0.4701208315504667,0.41733334890994267,0.6667773628179482,0.5484942991571921,1.0,0.6093661929156695,0.5311088366691331,0.5150359636693407,0.47350013888726594,0.30041185968227613,0.4204568183867309,0.5205732586526679,0.5459610491160047,0.32406631793343055,0.5499166214145987,0.5523916623739549,0.5403485080081065,0.44541274035501455,0.43184369970052283,0.2096775428785388,0.5025471416357137,0.4166249016885478,0.4474631124301135,0.4019631175876469,0.5090958045034972,0.46027468066347665,0.5539052016681667,0.32030115997492015,0.538159415161175,0.3846029072565501,0.5006536860157005,0.42806686451539766,0.4252113389622778,0.49591095298957966,0.43561273329512773,0.5104172932616058,0.4965904205992405,0.5465915341577299,0.4978313765774278,0.4305194858097392,0.4969284699051274,0.4969280190966169,0.5269185647767958,0.48825058293489065,0.5516078042763142,0.4788674321547475,0.5388931427919559,0.4821881372849707,0.47225040538667773,0.3937831540751555,0.5247303705646673,0.45909483279951824,0.4582310260252215,0.5098571641962677,0.4912041261631892,0.41881314359391464,0.42994335199723943,0.42964194662132316,0.7020507921476857,0.5053336025855228
"Artemisia abaensis (China) - Artemisia abaensis Y.R. Ling et S.Y. Zhao, fam. Asteraceae (Compositae)",0.5827049087368026,0.24416910320546426,0.4956519059930734,0.5369005012699759,0.4327639002470405,0.5785214282547382,0.6668487051197312,0.6093661929156695,1.0,0.7354034000352399,0.5206895524165578,0.5613815074259161,0.3395870911465497,0.5015666395525737,0.5858355132144479,0.6016629500359658,0.3659298487764434,0.6847731719046483,0.6145904877691546,0.5799676443241041,0.5380822646221863,0.4423724274417926,0.25814508871798436,0.5171886160045587,0.41141144655032535,0.5427614604294916,0.4760174474972245,0.5591600239710963,0.5684892776888182,0.6709830857419296,0.4409776539954562,0.6755800419495086,0.4769692128231946,0.5557649149964637,0.505013780828867,0.4359567312278415,0.5326390687513509,0.4401523065073343,0.6476745798254102,0.5577062131858026,0.598174509593423,0.6332410647874801,0.5516740983260785,0.6168998483104753,0.6262283895404755,0.5915664228771583,0.5930863400890476,0.6972909873304821,0.5871928317423053,0.6671821361877058,0.6232570350301172,0.5836383162610559,0.4485817732267726,0.658128292169996,0.6064447107997674,0.5605859671828205,0.6700115830878346,0.5591239819656499,0.5321228609959057,0.47124496590880216,0.5847812196401807,0.6245593591617482,0.6196935790062192
"Artemisia aksaiensis (China) - Artemisia aksaiensis Y.R. Ling, fam. Asteraceae (Compositae)",0.6361034535980292,0.22008160888593498,0.5176194882315037,0.5873922370734073,0.36244992937716236,0.49956925095424,0.6779093269254128,0.5311088366691331,0.7354034000352399,1.0,0.45893280655408253,0.526980889175332,0.4228679125896031,0.5677613860902744,0.5981850568974141,0.5013686669413431,0.34521884148546034,0.6406928346848145,0.5547106108613942,0.5192472042474982,0.5585220562308475,0.4037774629829054,0.24016215131120122,0.43626387630885144,0.34523947178942715,0.6032380104432491,0.4740200667574198,0.5184316136255857,0.6221400372777609,0.6219334022000409,0.5694100730724532,0.6729136865522922,0.5723266418560533,0.5565293042669701,0.5679784633487256,0.4151396407341359,0.5056293746261843,0.41693350769921766,0.7581583995652005,0.566832642420209,0.5333269684346511,0.70832332399243,0.6328321703354483,0.6869852292944564,0.6930374254108598,0.6002320654072439,0.55608675225228,0.7400177223130372,0.6521787596912896,0.6959245372598488,0.679772524638067,0.6660786583181216,0.5134922535707418,0.7206816463320065,0.7011807643530557,0.6178109957012485,0.6451788141566217,0.5057332621437274,0.514070048755142,0.42504663345921423,0.6991437585839657,0.6068593661446549,0.5904509603460549
"Artemisia arborescens (U.S.A.) - Artemisia arborescens L., fam. Asteraceae (Compositae)",0.41474621468936623,0.14062227100990976,0.34285656487992267,0.37037465680259996,0.36931832031305967,0.4157123851351603,0.4344314524337378,0.5150359636693407,0.5206895524165578,0.45893280655408253,1.0,0.39825680011517484,0.19340276552956526,0.30515530465158947,0.42451976947537784,0.4535933086302626,0.21564900212523452,0.4732303440736061,0.4489944446505435,0.4303478211377717,0.3819515785929728,0.3441820804041308,0.15304262912103694,0.4599282373277481,0.3757476301929361,0.3843347718211584,0.342167281884192,0.41667607359369707,0.3924238927352901,0.44723387208708154,0.24458756738955445,0.4838539749334978,0.30403343530601235,0.42493531137502527,0.32465593632187906,0.3916312142365237,0.4617384396815738,0.3727904938685568,0.40891799303693854,0.4014413691432249,0.49097682332592596,0.41948646294951386,0.3782889796781239,0.41967911947971115,0.42691088190125703,0.45689707209123964,0.43098990013278404,0.46857484526712556,0.4070059959965212,0.47079461314376425,0.42601349812362566,0.39024592530371627,0.28108692489147735,0.43988275829518064,0.3817045142677499,0.3620189651656084,0.4598553592068747,0.4266157674250781,0.3521893705409823,0.3526779238665312,0.35813385331150216,0.4739587088438869,0.49430198347415144
"Artemisia aucheri (Iran) 1 - Artemisia aucheri Boiss., fam. Asteraceae (Compositae)",0.4438692492991432,0.18515978874139005,0.3707280640142926,0.4579351768471087,0.3539617172922074,0.41490763296771915,0.512514597377175,0.47350013888726594,0.5613815074259161,0.526980889175332,0.39825680011517484,1.0,0.30667060204899566,0.4134776373319796,0.5087096525901381,0.4742012450638342,0.31215639055713684,0.5139826940740833,0.49849889012044524,0.48347080493940675,0.4348334654841852,0.38656670717384045,0.18466374144480657,0.39992074719337967,0.35356647285942877,0.4700406141090252,0.3845052789879313,0.46489406985711423,0.5279038319332086,0.5112556163358235,0.40721802929152173,0.5202302189059029,0.4377805121976508,0.5372747678841954,0.44567715301015387,0.3766850727466441,0.4452677158954622,0.3878765127418411,0.48026936211105664,0.4555998685635051,0.470287858673769,0.4755676722250519,0.43149488525644353,0.48602230199421437,0.48912183759900185,0.48906415900127,0.44421088509052,0.533139057422697,0.47129917235760344,0.4947934902391784,0.47246399680350737,0.47159051328666657,0.3902331169183757,0.4996122489785688,0.4477241949628654,0.44965786598477153,0.4840582764570922,0.4446904727270784,0.3905563145248414,0.3844998441348094,0.43448934876154155,0.5057307385337444,0.4691140319786147
"Artemisia austriaca (Turkey) - Artemisia austriaca Jacq., fam. Asteraceae (Compositae)",0.3613383854290979,0.19443063121839776,0.24605340068187165,0.7569990610949433,0.27646006181598837,0.3443940535573179,0.47916717036298107,0.30041185968227613,0.3395870911465497,0.4228679125896031,0.19340276552956526,0.30667060204899566,1.0,0.7234413534026529,0.593634050859402,0.3102166587767753,0.4534377628308609,0.32448158814753003,0.4143663646489173,0.4417291649190961,0.4223462501840529,0.4449694041652982,0.11177058676518958,0.2260561284868493,0.33187331458197267,0.5487947400974341,0.36502824025664327,0.5486051315814522,0.564717357163711,0.4374350211170448,0.5250876142015812,0.38163617914795966,0.654745892737367,0.5743212562180962,0.7010057826108388,0.49376184080394847,0.47905737058280284,0.5565116934255246,0.42072569573863217,0.5173048284438762,0.3621457949998965,0.4604699483551432,0.5077860418838964,0.5701608382527605,0.5387812329045893,0.581595116035166,0.3150867909319912,0.5335437005742523,0.5714572605259891,0.3569643223598091,0.42711360613833715,0.62381596756011,0.757528752428847,0.509340196204277,0.4751840161146339,0.5168820116797825,0.3157368412574566,0.3305239175664153,0.2506471322882219,0.3217425817784826,0.46884913364259173,0.48407382624193374,0.3378781371283378
"Artemisia diffusa (Iran) 2 - Artemisia diffusa Krasch. ex Poljak., fam. Asteraceae (Compositae)",0.5244225998256089,0.2400449174913225,0.3539052672050169,0.8265210892643621,0.4029311791395348,0.4376550997012427,0.5805608751486906,0.4204568183867309,0.5015666395525737,0.5677613860902744,0.30515530465158947,0.4134776373319796,0.7234413534026531,1.0,0.6711440750245574,0.4374127987982619,0.6126135201647603,0.472210146735657,0.5155645105684198,0.5253041378087302,0.5061316665894464,0.4761674403682342,0.1852467694197354,0.3669869572276101,0.3922208685860713,0.6098333568422253,0.4489239641679871,0.6708065018182143,0.7006885633647923,0.6296204673612,0.5949717985368334,0.5514672187164922,0.6784960815167806,0.6211444652199367,0.7170162023398927,0.52791509114607,0.5627777370306284,0.5725154320607052,0.5689860958163817,0.640774424514498,0.5109677743256449,0.6214990118594249,0.6009238501706269,0.6968395574615914,0.656254955045795,0.6750481873820172,0.4537122868278426,0.6710693448256215,0.6658524018965288,0.5109435149697419,0.5581669405645454,0.712251843021042,0.7310653310815032,0.6752662720351161,0.6557584735152289,0.5991733223403317,0.4504144633168883,0.4473305528274426,0.4030416508039846,0.40402309414402116,0.6214143127094163,0.5931508572431796,0.46756625700904686
"Artemisia glacialis (Italy) - Artemisia glacialis L., fam. Asteraceae (Compositae)",0.525970000166869,0.2961039104500659,0.4109645603248444,0.750063803186778,0.4630664967671865,0.5039058998010012,0.6335613604996035,0.5205732586526679,0.5858355132144479,0.5981850568974141,0.42451976947537784,0.5087096525901381,0.593634050859402,0.6711440750245574,1.0,0.528719694197957,0.47805853441023005,0.582184381499079,0.6024323013670545,0.609843856027692,0.5531824153220707,0.54607654021559,0.2324796372372413,0.47316533837312125,0.4961769977085707,0.6298355672763327,0.48969512123730496,0.6735228517878179,0.6357392057159323,0.6248103548772119,0.517937675990495,0.5970132127764146,0.6243523743289765,0.686698039060863,0.6828215974474764,0.6052935560314154,0.6449786524026442,0.6276859725395845,0.5811745746819637,0.6368612259272277,0.5941344081086266,0.6156336527942334,0.5968703296025111,0.6894056467050895,0.6653608266144131,0.7323199585966708,0.5265043461287017,0.693127204750249,0.6755080030724276,0.5616425353070634,0.5920691085811823,0.693689060624626,0.650151118158653,0.7240226548324624,0.6213002871086406,0.6055063862546413,0.5363645986894054,0.51814933937016,0.4274183097963212,0.473764011549875,0.5876234975695023,0.645673232616021,0.5514017135643446
"Artemisia kawakamii (China) - Artemisia kawakamii Hayata, fam. Asteraceae (Compositae)",0.40751819478729856,0.23886305061873514,0.36496442272834695,0.48461965690323816,0.4414896647216201,0.45800763986018656,0.5197943180700193,0.5459610491160047,0.6016629500359658,0.5013686669413431,0.4535933086302626,0.4742012450638342,0.3102166587767753,0.4374127987982619,0.528719694197957,1.0,0.4012203738665743,0.5499555165069467,0.5874609831525521,0.5835102651604483,0.43552634596380047,0.4698115837762059,0.2095379324065244,0.4589683569933899,0.44435333784757214,0.42834752839487933,0.4025289719147773,0.5625479790146107,0.4674833101187599,0.6017197457030987,0.2831876915323227,0.5156762945512954,0.369367249400827,0.5109399210934331,0.43965704914690606,0.4287559294641652,0.4917743759023243,0.465767243896543,0.4668013780542435,0.49567798739190516,0.5685125347817516,0.4652318291957507,0.38931489183028856,0.4762714920367599,0.48003165547835547,0.5228482531774186,0.4986875863151575,0.5530926804719716,0.45430808642925324,0.49971347037692526,0.4489639362986465,0.45295941983899835,0.40048145838667526,0.5028237507138553,0.4319889151156123,0.44011349511110653,0.4951941833904622,0.5141841730843382,0.4231007384154363,0.45499282581231515,0.39077858325624026,0.5627561789183559,0.4921497160688785
"Artemisia vallesiaca (Italy) - Artemisia vallesiaca All., fam. Asteraceae (Compositae)",0.2907673310435144,0.16940274478433803,0.20585059790862803,0.5655772961333305,0.31706499038634683,0.3096523691979779,0.38557406818595485,0.32406631793343055,0.3659298487764434,0.34521884148546034,0.21564900212523452,0.31215639055713684,0.4534377628308609,0.6126135201647603,0.47805853441023005,0.4012203738665743,1.0,0.340540835739386,0.40843877346597157,0.4254002659568463,0.32933881242516616,0.3864921931427622,0.08930556169350623,0.27578093256733116,0.33076788750051545,0.38160065062043935,0.3126590318915651,0.6417433987836213,0.5309441151892014,0.5976818462644704,0.3239566538455937,0.3936480235404758,0.39971934334542425,0.44615501599031715,0.4697379353850718,0.40023243290382526,0.4383204204623784,0.4789990922209796,0.3585751787133773,0.4425260299680721,0.44047591550246,0.41582680243615555,0.3392131861316747,0.4471944609449018,0.42630076713868414,0.4793466278613515,0.3395668091060976,0.4711640686962575,0.41103126840652626,0.34622565714147013,0.34165677324157095,0.42636444028480847,0.46255589945940145,0.4888149036383166,0.4650268481993325,0.3674587495630084,0.29811982680199156,0.3585346298543808,0.31061476546827804,0.31197970920791296,0.38522591419050733,0.45019100466916007,0.32692644595574005
"Curcuma aromatica (India) 1 petiole - Curcuma aromatica Salisb., fam. Zingiberaceae",0.5361766794165399,0.21805764127200578,0.44740318990983496,0.5090938122090514,0.42117380019357553,0.4760240480117952,0.5842170455835431,0.5499166214145987,0.6847731719046483,0.6406928346848145,0.4732303440736061,0.5139826940740833,0.32448158814753003,0.472210146735657,0.582184381499079,0.5499555165069467,0.340540835739386,1.0,0.5873883208500428,0.5613697769417352,0.5000019489720147,0.41836334859566204,0.22926939319515438,0.49904730936345665,0.3887493510354151,0.505616042589571,0.4399706275412715,0.5218152428666798,0.5283852153186472,0.6137523988653624,0.4095089948295696,0.6292502781857781,0.4636692256285806,0.5220031206218851,0.4835858797919771,0.4176923502350568,0.5032698986313762,0.42151497004398564,0.5879434556184169,0.5251025673665751,0.5556599525856443,0.5783694145459501,0.5118895359448385,0.5759970542667934,0.5808522424894391,0.5628677090494294,0.5418542825190432,0.630362494784741,0.554329112307812,0.5929418754851371,0.5731425685949557,0.5441227049972868,0.4232333078570505,0.6141512495422801,0.5582696107368492,0.5299278995117351,0.5852909586482307,0.510964296207889,0.48088611210499554,0.4309176394207366,0.5414298490158016,0.572234514653616,0.5602866567781697
